Quarter,Time,Down,ToGo,Location,SDG,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 63 yards, returned by Pierre Thomas for 19 yards (tackle by Marques Harris)",0.000,0.670
1,15:00,1,10,NOR 26,0,0,Deuce McAllister up the middle for 4 yards (tackle by Shaun Phillips),0.670,0.670
1,14:19,2,6,NOR 30,0,0,Drew Brees pass complete short left to Billy Miller for 10 yards (tackle by Tim Dobbins),0.670,1.600
1,13:49,1,10,NOR 40,0,0,Drew Brees pass complete short right to Lance Moore for 6 yards (tackle by Antoine Cason),1.600,1.860
1,13:09,2,4,NOR 46,0,0,Aaron Stecker right guard for 4 yards (tackle by Stephen Cooper),1.860,2.260
1,12:33,1,10,,0,0,Deuce McAllister right tackle for 5 yards (tackle by Quentin Jammer),2.260,2.390
1,11:59,2,5,SDG 45,0,0,Deuce McAllister left end for 12 yards (tackle by Eric Weddle),2.390,3.380
1,11:18,1,10,SDG 33,0,0,Drew Brees pass complete short middle to Deuce McAllister for 11 yards (tackle by Tim Dobbins),3.380,4.110
1,10:33,1,10,SDG 22,0,0,"Drew Brees pass complete short middle to Pierre Thomas for 6 yards (tackle by Stephen Cooper). Penalty on Shaun Phillips: Defensive Holding, 5 yards (no play)",4.110,4.440
1,10:09,1,10,SDG 17,0,0,Pierre Thomas left guard for 5 yards (tackle by Clinton Hart),4.440,4.690
1,9:32,2,5,SDG 12,0,0,Deuce McAllister right tackle for 3 yards (tackle by Shaun Phillips),4.690,4.570
1,8:57,3,2,SDG 9,0,0,Drew Brees pass complete short right to Devery Henderson for 2 yards (tackle by Quentin Jammer),4.570,5.600
1,8:28,1,7,SDG 7,0,0,"Deuce McAllister up the middle for 3 yards (tackle by Clinton Hart). Penalty on Matt Lehr: Offensive Holding, 10 yards (no play)",5.600,4.260
1,8:04,1,17,SDG 17,0,0,Drew Brees pass complete short right to Deuce McAllister for 9 yards (tackle by Jyles Tucker),4.260,4.570
1,7:22,2,8,SDG 8,0,0,Drew Brees pass complete short middle to Aaron Stecker for 3 yards (tackle by Tim Dobbins),4.570,4.260
