Unnamed: 0,SDG,NOR
First Downs,22,28
Rush-Yds-TDs,22-110-0,26-70-2
Cmp-Att-Yd-TD-INT,25-40-341-3-1,30-41-339-3-0
Sacked-Yards,0-0,0-0
Net Pass Yards,341,339
Total Yards,451,409
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,14-134,6-60
Third Down Conv.,5-12,4-11
Fourth Down Conv.,1-1,2-3
Time of Possession,29:10,30:50
