Quarter,Time,Tm,Detail,PHI,ATL
1.0,9:28,Falcons,Matt Bryant 50 yard field goal,0,3
2.0,10:45,Eagles,Jake Elliott 34 yard field goal,3,3
,4:56,Falcons,Calvin Ridley 34 yard pass from Matt Ryan (Matt Bryant kick),3,10
,0:00,Eagles,Jake Elliott 41 yard field goal,6,10
3.0,13:23,Falcons,Julio Jones 4 yard pass from Matt Ryan (Matt Bryant kick),6,17
,4:57,Eagles,Nelson Agholor 4 yard pass from Carson Wentz (run failed),12,17
4.0,3:13,Eagles,Carson Wentz 1 yard rush (Zach Ertz pass from Carson Wentz),20,17
,2:10,Falcons,Julio Jones 54 yard pass from Matt Ryan (Matt Bryant kick),20,24
