Unnamed: 0,PHI,ATL
First Downs,18,19
Rush-Yds-TDs,21-49-1,17-57-0
Cmp-Att-Yd-TD-INT,28-48-255-1-2,27-43-320-3-3
Sacked-Yards,3-18,1-10
Net Pass Yards,237,310
Total Yards,286,367
Fumbles-Lost,1-1,1-0
Turnovers,3,3
Penalties-Yards,7-60,10-58
Third Down Conv.,9-18,3-10
Fourth Down Conv.,2-3,1-1
Time of Possession,32:54,27:06
