Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Devonta Freeman right tackle for 3 yards (tackle by Zach Brown),0.610,0.470
1,14:26,2,7,ATL 28,0,0,Matt Ryan pass complete short right to Austin Hooper for 9 yards (tackle by Zach Brown),0.470,1.400
1,14:00,1,10,ATL 37,0,0,Devonta Freeman left end for 6 yards (tackle by Rodney McLeod),1.400,1.670
1,13:27,2,4,ATL 43,0,0,Matt Ryan pass complete short right to Mohamed Sanu for 6 yards (tackle by Malcolm Jenkins),1.670,2.190
1,12:46,1,10,ATL 49,0,0,Devonta Freeman left end for 9 yards (tackle by Sidney Jones and Rodney McLeod),2.190,2.860
1,12:04,2,1,PHI 42,0,0,Ito Smith left tackle for 2 yards (tackle by Zach Brown and Josh Sweat),2.860,2.920
1,11:28,1,10,PHI 40,0,0,Matt Ryan pass complete short middle to Austin Hooper for 14 yards (tackle by Rodney McLeod),2.920,3.840
1,10:56,1,10,PHI 26,0,0,Devonta Freeman right end for -6 yards (tackle by Brandon Graham),3.840,2.490
1,10:20,2,16,PHI 32,0,0,Matt Ryan pass incomplete short right intended for Ito Smith (defended by Ronald Darby),2.490,1.820
1,10:16,3,16,PHI 32,0,0,Matt Ryan pass complete short left to Calvin Ridley for no gain (tackle by Sidney Jones),1.820,1.240
1,9:33,4,16,PHI 32,0,3,Matt Bryant 50 yard field goal good,1.240,3.000
1,9:28,,,ATL 35,0,3,"Matt Bryant kicks off 61 yards, returned by Corey Clement for 25 yards (tackle by Damontae Kazee)",0.000,0.870
1,9:21,1,10,PHI 29,0,3,Carson Wentz pass complete short left to Zach Ertz for 8 yards (tackle by De'Vondre Campbell),0.870,1.410
1,8:43,2,2,PHI 37,0,3,Miles Sanders left tackle for no gain (tackle by Isaiah Oliver),1.410,0.700
1,8:00,3,2,PHI 37,0,3,"Carson Wentz pass incomplete deep right intended for Alshon Jeffery. Penalty on Isaiah Oliver: Defensive Holding, 5 yards (no play)",0.700,1.730
1,7:54,1,10,PHI 42,0,3,"Penalty on Isaac Seumalo: False Start, 5 yards (no play)",1.730,1.400
1,7:54,1,15,PHI 37,0,3,Miles Sanders left tackle for 4 yards (tackle by De'Vondre Campbell and Jack Crawford),1.400,1.050
1,7:12,2,11,PHI 41,0,3,Miles Sanders right end for 4 yards (tackle by Grady Jarrett and Damontae Kazee),1.050,0.890
1,6:29,3,7,PHI 45,0,3,Carson Wentz pass incomplete short left intended for Nelson Agholor,0.890,-0.390
1,6:23,4,7,PHI 45,0,3,Cameron Johnston punts 54 yards downed by Mack Hollins,-0.390,0.380
1,6:13,1,10,ATL 1,0,3,Penalty on Alex Mack: False Start (no play),-0.380,-0.380
1,6:13,1,10,ATL 1,0,3,Matt Ryan pass complete short left to Ito Smith for 5 yards (tackle by Rodney McLeod),-0.380,-0.420
1,5:36,2,5,ATL 6,0,3,Matt Ryan pass incomplete short left intended for Julio Jones,-0.420,-0.840
1,5:33,3,5,ATL 6,0,3,Matt Ryan pass complete short right to Calvin Ridley for 17 yards (tackle by Ronald Darby),-0.840,0.480
1,5:07,1,10,ATL 23,0,3,Matt Ryan pass incomplete short right intended for Russell Gage,0.480,-0.070
1,5:04,2,10,ATL 23,0,3,Devonta Freeman left guard for -5 yards (tackle by Derek Barnett),-0.070,-1.560
1,4:29,3,15,ATL 18,0,3,Matt Ryan pass complete short left to Devonta Freeman for 5 yards (tackle by Malcolm Jenkins and Andrew Sendejo),-1.560,-1.830
1,3:49,4,10,ATL 23,0,3,"Penalty on Russell Gage: False Start, 5 yards (no play)",-1.830,-2.240
1,3:49,4,15,ATL 18,0,3,"Matthew Bosher punts 39 yards, fair catch by Darren Sproles at PHI-43",-2.240,-1.800
1,3:41,1,10,PHI 43,0,3,Carson Wentz pass complete short right to Zach Ertz for 8 yards (tackle by Keanu Neal),1.800,2.330
1,3:10,2,2,ATL 49,0,3,Jordan Howard left guard for 2 yards (tackle by Grady Jarrett),2.330,2.460
1,2:29,1,10,ATL 47,0,3,Jordan Howard left tackle for 2 yards (tackle by Allen Bailey),2.460,2.180
1,1:47,2,8,ATL 45,0,3,Carson Wentz pass incomplete short middle intended for Zach Ertz,2.180,1.490
1,1:44,,,,,,Timeout #2 by Atlanta Falcons,,
1,1:44,3,8,ATL 45,0,3,Carson Wentz pass deep right intended for JJ Arcega-Whiteside is intercepted by Desmond Trufant at ATL-9 and returned for no gain,1.490,0.380
1,1:36,1,10,ATL 9,0,3,Devonta Freeman left guard for no gain (tackle by Josh Sweat and Rasul Douglas),-0.380,-0.780
1,0:53,2,10,ATL 9,0,3,Matt Ryan pass incomplete deep middle intended for Julio Jones (defended by Josh Sweat),-0.780,-1.420
1,0:47,3,10,ATL 9,0,3,Matt Ryan pass incomplete deep middle intended for Julio Jones (defended by Rodney McLeod),-1.420,-2.490
1,0:40,4,10,ATL 9,0,3,"Matthew Bosher punts 42 yards, returned by Darren Sproles for 8 yards (tackle by Luke Stocker)",-2.490,-2.720
1,0:30,1,10,ATL 43,0,3,Miles Sanders right guard for 5 yards (tackle by Takkarist McKinley),2.720,2.850
Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,ATL 38,0,3,Jordan Howard left guard for 5 yards (tackle by Keanu Neal and Grady Jarrett),2.850,3.380
2,14:21,1,10,ATL 33,0,3,Carson Wentz left end for no gain (tackle by Ricardo Allen),3.380,2.840
2,13:43,2,10,ATL 33,0,3,Carson Wentz pass complete short left to Zach Ertz for 9 yards (tackle by Deion Jones and De'Vondre Campbell),2.840,3.340
2,12:59,3,1,ATL 24,0,3,Carson Wentz pass complete short right to Nelson Agholor for 12 yards (tackle by Damontae Kazee),3.340,4.780
2,12:15,1,10,ATL 12,0,3,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Desmond Trufant),4.780,4.100
2,12:11,2,10,ATL 12,0,3,Jordan Howard left tackle for 4 yards (tackle by Deion Jones),4.100,3.930
2,11:28,3,6,ATL 8,0,3,Carson Wentz sacked by Grady Jarrett for -8 yards,3.930,2.380
2,10:50,4,14,ATL 16,3,3,Jake Elliott 34 yard field goal good,2.380,3.000
2,10:45,,,PHI 35,3,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,10:45,1,10,ATL 25,3,3,"Matt Ryan pass complete short middle to Ito Smith for 7 yards (tackle by Rodney McLeod). Penalty on Jamon Brown: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,10:14,1,20,ATL 15,3,3,Matt Ryan pass complete deep left to Julio Jones for 19 yards (tackle by Andrew Sendejo),-0.410,1.280
2,9:40,2,1,ATL 34,3,3,Matt Ryan pass complete short left to Julio Jones for 2 yards (tackle by Sidney Jones and Rodney McLeod),1.280,1.330
2,9:02,1,10,ATL 36,3,3,Devonta Freeman right guard for 4 yards (tackle by Nathan Gerry),1.330,1.330
2,8:30,2,6,ATL 40,3,3,Matt Ryan pass incomplete short right intended for Mohamed Sanu (defended by Fletcher Cox),1.330,0.630
2,8:27,3,6,ATL 40,3,3,Matt Ryan pass complete deep right to Julio Jones for 27 yards,0.630,3.380
2,8:20,1,10,PHI 33,3,3,Matt Ryan pass complete short left to Calvin Ridley for 1 yard (tackle by Sidney Jones),3.380,2.970
2,8:01,2,9,PHI 32,3,3,Matt Ryan pass incomplete deep right intended for Calvin Ridley,2.970,2.280
2,7:53,3,9,PHI 32,3,3,Matt Ryan pass incomplete deep middle intended for Justin Hardy,2.280,1.240
2,7:47,4,9,PHI 32,3,3,Matt Bryant 50 yard field goal no good,1.240,-1.600
2,7:42,1,10,PHI 40,3,3,"Carson Wentz pass deep right intended for Zach Ertz is intercepted by Desmond Trufant at ATL-35 and returned for 10 yards. Penalty on Isaiah Oliver: Offensive Holding, 10 yards",1.600,-1.270
2,7:27,1,10,ATL 35,3,3,Matt Ryan pass complete short right to Calvin Ridley for 15 yards (tackle by Zach Brown),1.270,2.260
2,6:55,1,10,ATL 50,3,3,Matt Ryan pass complete short middle to Calvin Ridley for 12 yards (tackle by Rodney McLeod),2.260,3.050
2,6:15,1,10,PHI 38,3,3,Devonta Freeman left guard for 1 yard (tackle by Derek Barnett),3.050,2.640
2,5:38,2,9,PHI 37,3,3,"Penalty on Jake Matthews: False Start, 5 yards (no play)",2.640,1.970
2,5:36,2,14,PHI 42,3,3,Matt Ryan pass complete short right to Ito Smith for 8 yards (tackle by Nigel Bradham and Ronald Darby),1.970,2.340
2,5:04,3,6,PHI 34,3,9,"Matt Ryan pass complete deep middle to Calvin Ridley for 34 yards, touchdown",2.340,7.000
2,4:56,,,PHI 15,3,10,Matt Bryant kicks extra point good,0.000,0.000
2,4:56,,,ATL 35,3,10,"Matt Bryant kicks off 62 yards, returned by Corey Clement for 22 yards (tackle by Damontae Kazee and Kemal Ishmael)",0.000,0.610
2,4:49,1,10,PHI 25,3,10,Carson Wentz pass incomplete short right intended for Mack Hollins,0.610,0.060
2,4:46,2,10,PHI 25,3,10,"Miles Sanders right end for 8 yards (tackle by Foyesade Oluokun). Penalty on Jason Peters: Offensive Holding, 10 yards (no play)",0.060,-1.430
2,4:28,2,20,PHI 15,3,10,"Carson Wentz pass complete short right to Zach Ertz for 4 yards (tackle by De'Vondre Campbell and Keanu Neal). Penalty on Kendall Sheffield: Defensive Holding, 5 yards (no play)",-1.430,0.280
2,3:58,1,10,PHI 20,3,10,Carson Wentz pass complete short right to JJ Arcega-Whiteside for 4 yards (tackle by Damontae Kazee and Isaiah Oliver),0.280,0.270
2,3:21,2,6,PHI 24,3,10,Jordan Howard right tackle for 2 yards (tackle by Tyeler Davison),0.270,-0.160
2,2:43,3,4,PHI 26,3,10,Carson Wentz pass complete short left to Nelson Agholor for 6 yards (tackle by Deion Jones),-0.160,1.070
2,2:00,1,10,PHI 32,3,10,Carson Wentz pass incomplete short left intended for JJ Arcega-Whiteside (defended by Isaiah Oliver),1.070,0.530
2,1:55,2,10,PHI 32,3,10,Carson Wentz pass incomplete short left intended for JJ Arcega-Whiteside,0.530,-0.160
2,1:51,3,10,PHI 32,3,10,Carson Wentz pass incomplete deep right intended for Mack Hollins,-0.160,-1.240
2,1:46,4,10,PHI 32,3,10,"Cameron Johnston punts 57 yards, returned by Kenjon Barner for no gain (tackle by Corey Clement). Penalty on Blidi Wreh-Wilson: Offensive Holding, 5 yards",-1.240,0.380
2,1:33,1,10,ATL 6,3,10,Matt Ryan pass complete short left to Austin Hooper for 7 yards (tackle by Avonte Maddox),-0.380,-0.270
2,1:10,2,3,ATL 13,3,10,Matt Ryan pass complete short right to Calvin Ridley for 12 yards (tackle by Ronald Darby),-0.270,0.610
2,0:53,1,10,ATL 25,3,10,Matt Ryan pass incomplete short right intended for Austin Hooper,0.610,0.060
2,0:49,2,10,ATL 25,3,10,Matt Ryan pass deep left intended for Mohamed Sanu is intercepted by Sidney Jones at ATL-42 and returned for 1 yard,0.060,-2.850
2,0:43,1,10,ATL 41,3,10,Josh McCown pass complete short right to Miles Sanders for 7 yards (tackle by Keanu Neal),2.850,3.250
2,0:38,2,3,ATL 34,3,10,Josh McCown pass complete short right to Miles Sanders for 4 yards (tackle by Keanu Neal),3.250,3.580
2,0:34,1,10,ATL 30,3,10,Josh McCown pass incomplete short right intended for Zach Ertz,3.580,3.030
2,0:29,2,10,ATL 30,3,10,Miles Sanders left guard for 4 yards (tackle by Kendall Sheffield),3.030,2.870
2,0:22,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:22,3,6,ATL 26,3,10,Josh McCown pass complete short left to Zach Ertz for 13 yards (tackle by Keanu Neal),2.870,4.710
2,0:16,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:16,1,10,ATL 13,3,10,Josh McCown pass incomplete short left intended for Zach Ertz (defended by Isaiah Oliver),4.710,4.050
2,0:13,2,10,ATL 13,3,10,Carson Wentz pass incomplete short right intended for Nelson Agholor (defended by Ricardo Allen),4.050,3.120
2,0:08,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:08,3,10,ATL 13,3,10,"Carson Wentz pass incomplete short left intended for Mack Hollins. Penalty on Halapoulivaati Vaitai: Offensive Holding, 10 yards (no play)",3.120,2.150
2,0:03,3,20,ATL 23,6,10,Jake Elliott 41 yard field goal good,2.150,3.000
Quarter,Time,Down,ToGo,Location,PHI,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,6,10,"Matt Bryant kicks off 60 yards, returned by Corey Clement for 26 yards (tackle by Kendall Sheffield). Corey Clement fumbles (forced by Kendall Sheffield), recovered by Sharrod Neasman at PHI-33 (tackle by Zach Brown)",0.000,-3.380
3,14:51,1,10,PHI 33,6,10,Matt Ryan pass complete short middle to Devonta Freeman for 28 yards (tackle by Rasul Douglas),3.380,6.060
3,14:10,1,5,PHI 5,6,10,Ito Smith left tackle for 1 yard (tackle by Zach Brown),6.060,5.340
3,13:31,2,4,PHI 4,6,16,"Matt Ryan pass complete short right to Julio Jones for 4 yards, touchdown",5.340,7.000
3,13:23,,,PHI 15,6,17,Matt Bryant kicks extra point good,0.000,0.000
3,13:23,,,ATL 35,6,17,"Matt Bryant kicks off 65 yards, returned by Miles Sanders for 29 yards (tackle by Isaiah Oliver)",0.000,0.870
3,13:15,1,10,PHI 29,6,17,Jordan Howard left guard for 1 yard (tackle by De'Vondre Campbell),0.870,0.460
3,12:41,2,9,PHI 30,6,17,Carson Wentz pass complete short right to Mack Hollins for 8 yards (tackle by Damontae Kazee),0.460,0.830
