Quarter,Time,Tm,Detail,PHI,WAS
1.0,13:07,Redskins,Darrel Young 6 yard pass from Robert Griffin III (Kai Forbath kick),0,7
2.0,14:15,Eagles,Alex Henery 41 yard field goal,3,7
,10:35,Redskins,Aldrick Robinson 49 yard pass from Robert Griffin III (Kai Forbath kick),3,14
,0:00,Redskins,Kai Forbath 25 yard field goal,3,17
3.0,8:27,Eagles,Alex Henery 42 yard field goal,6,17
,4:50,Redskins,Santana Moss 61 yard pass from Robert Griffin III (Kai Forbath kick),6,24
4.0,10:24,Redskins,Logan Paulsen 17 yard pass from Robert Griffin III (Kai Forbath kick),6,31
