Unnamed: 0,PHI,WAS
First Downs,16,15
Rush-Yds-TDs,21-80-0,34-169-0
Cmp-Att-Yd-TD-INT,21-46-204-0-2,14-15-200-4-0
Sacked-Yards,4-27,2-8
Net Pass Yards,177,192
Total Yards,257,361
Fumbles-Lost,4-1,3-0
Turnovers,3,0
Penalties-Yards,9-70,13-80
Third Down Conv.,7-19,5-11
Fourth Down Conv.,0-1,0-1
Time of Possession,31:24,28:36
