Unnamed: 0,DEN,GNB
First Downs,18,26
Rush-Yds-TDs,23-119-0,28-111-2
Cmp-Att-Yd-TD-INT,22-32-273-3-3,29-39-408-4-2
Sacked-Yards,1-8,2-12
Net Pass Yards,265,396
Total Yards,384,507
Fumbles-Lost,1-1,0-0
Turnovers,4,2
Penalties-Yards,3-24,3-27
Third Down Conv.,4-11,9-13
Fourth Down Conv.,1-1,0-1
Time of Possession,26:59,33:01
