Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,Dan Bailey kicks off 50 yards,0.000,0.220
1,14:59,1,10,ARI 15,0,0,Carson Palmer pass incomplete deep middle intended for John Carlson,-0.220,-0.710
1,14:53,2,10,ARI 15,0,0,Andre Ellington up the middle for no gain (tackle by Anthony Hitchens),-0.710,-1.370
1,14:14,3,10,ARI 15,0,0,Carson Palmer pass complete short middle to Andre Ellington for 11 yards (tackle by Barry Church),-1.370,0.670
1,13:38,1,10,ARI 26,0,0,Carson Palmer pass complete short right to John Carlson for 12 yards (tackle by Rolando McClain and Brandon Carr),0.670,1.470
1,12:59,1,10,ARI 38,0,0,Andre Ellington for 11 yards,1.470,2.190
1,12:31,1,10,ARI 49,0,0,Andre Ellington left tackle for 5 yards (tackle by Rolando McClain and Bruce Carter),2.190,2.320
1,11:53,2,5,DAL 46,0,0,Carson Palmer sacked by Henry Melton for -7 yards,2.320,0.700
1,11:07,3,12,ARI 47,0,6,"Carson Palmer pass incomplete short right intended for Michael Floyd is intercepted by Tyler Patmon at DAL-42 and returned for 58 yards, touchdown",0.700,-7.000
1,10:55,,,ARI 2,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,10:55,,,DAL 35,0,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,10:55,1,10,ARI 20,0,7,Carson Palmer pass complete short left to Michael Floyd for 11 yards (tackle by Bruce Carter),0.280,1.000
1,10:21,1,10,ARI 31,0,7,Andre Ellington up the middle for 3 yards (tackle by Anthony Spencer and Anthony Hitchens),1.000,0.870
1,9:43,2,7,ARI 34,0,7,Andre Ellington right guard for 3 yards (tackle by Tyrone Crawford),0.870,0.560
1,9:02,3,4,ARI 37,0,7,Carson Palmer pass incomplete short middle intended for John Brown,0.560,-0.910
1,8:55,4,4,ARI 37,0,7,"Drew Butler punts 46 yards, fair catch by Dwayne Harris",-0.910,0.060
1,8:48,1,10,DAL 17,0,7,DeMarco Murray left tackle for -1 yards (tackle by Dan Williams),-0.060,-0.730
1,8:12,2,11,DAL 16,0,7,DeMarco Murray right tackle for 10 yards (tackle by Antonio Cromartie),-0.730,-0.120
1,7:34,3,1,DAL 26,0,7,DeMarco Murray left tackle for 4 yards (tackle by Larry Foote),-0.120,0.940
1,6:59,1,10,DAL 30,0,7,Brandon Weeden pass complete short right to Jason Witten for 2 yards (tackle by Alex Okafor),0.940,0.660
1,6:17,2,8,DAL 32,0,7,DeMarco Murray up the middle for -2 yards (tackle by Calais Campbell),0.660,-0.300
1,5:39,3,10,DAL 30,0,7,Brandon Weeden pass complete short right to Lance Dunbar for 40 yards (tackle by Jerraud Powers),-0.300,3.580
1,4:48,1,10,ARI 30,0,7,Brandon Weeden pass incomplete short right intended for Dez Bryant,3.580,3.030
1,4:42,2,10,ARI 30,0,7,"Penalty on Tyron Smith: False Start, 5 yards (no play)",3.030,2.360
1,4:42,2,15,ARI 35,0,7,Brandon Weeden pass complete short right to DeMarco Murray for 1 yard (tackle by Lorenzo Alexander),2.360,1.820
1,4:13,3,14,ARI 34,0,7,Brandon Weeden pass incomplete short middle intended for Dez Bryant,1.820,1.060
1,4:08,4,14,ARI 34,0,10,Dan Bailey 52 yard field goal good,1.060,3.000
1,4:08,,,DAL 35,0,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,4:03,1,10,ARI 20,0,10,Carson Palmer pass incomplete deep right intended for Larry Fitzgerald,0.280,-0.270
1,3:58,2,10,ARI 20,0,10,"Andre Ellington right tackle for 3 yards (tackle by George Selvie). Penalty on Rolando McClain: Illegal Use of Hands, 5 yards",-0.270,0.810
1,3:38,1,10,ARI 28,0,10,Andre Ellington right end for 2 yards (tackle by J.J. Wilcox),0.810,0.530
1,3:05,2,8,ARI 30,0,10,Andre Ellington right tackle for 6 yards (tackle by Nick Hayden and Anthony Spencer),0.530,0.630
1,2:21,3,2,ARI 36,0,10,Carson Palmer pass complete short right to Larry Fitzgerald for 31 yards (tackle by J.J. Wilcox),0.630,3.380
1,2:21,1,10,DAL 33,0,10,"Penalty on Michael Floyd: False Start, 5 yards (no play)",3.380,3.050
1,1:18,1,15,DAL 38,0,10,Carson Palmer pass complete short left to John Brown for 10 yards (tackle by Sterling Moore),3.050,3.510
1,0:53,2,5,DAL 28,0,10,Andre Ellington left tackle for 2 yards (tackle by Anthony Hitchens and Demarcus Lawrence),3.510,3.070
1,0:15,3,3,DAL 26,0,10,Carson Palmer pass complete short left to Jaron Brown for 4 yards (tackle by Barry Church),3.070,4.110
Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
