Unnamed: 0,ARI,DAL
First Downs,22,18
Rush-Yds-TDs,29-102-1,25-92-0
Cmp-Att-Yd-TD-INT,22-34-249-3-1,18-33-183-1-2
Sacked-Yards,2-12,1-9
Net Pass Yards,237,174
Total Yards,339,266
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,6-62,5-33
Third Down Conv.,9-15,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,31:28,28:32
