Quarter,Time,Tm,Detail,ARI,DAL
1.0,10:55,Cowboys,Tyler Patmon 58 yard interception return (Dan Bailey kick),0,7
,4:03,Cowboys,Dan Bailey 52 yard field goal,0,10
2.0,12:39,Cardinals,John Carlson 7 yard pass from Carson Palmer (Chandler Catanzaro kick),7,10
,4:34,Cardinals,Jaron Brown 11 yard pass from Carson Palmer (Chandler Catanzaro kick),14,10
4.0,6:00,Cardinals,Andre Ellington 1 yard pass from Carson Palmer (Chandler Catanzaro kick),21,10
,4:20,Cardinals,Marion Grice 1 yard rush (Chandler Catanzaro kick),28,10
,1:08,Cowboys,Dez Bryant 3 yard pass from Brandon Weeden (Dan Bailey kick),28,17
