Unnamed: 0,DEN,OAK
First Downs,12,21
Rush-Yds-TDs,17-56-0,37-104-1
Cmp-Att-Yd-TD-INT,20-35-190-2-1,18-24-253-2-0
Sacked-Yards,5-30,2-9
Net Pass Yards,160,244
Total Yards,216,348
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,9-75,7-68
Third Down Conv.,5-14,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,24:06,35:54
