Unnamed: 0,GNB,CAR
First Downs,16,26
Rush-Yds-TDs,21-124-1,21-71-1
Cmp-Att-Yd-TD-INT,19-30-308-2-0,28-46-432-1-3
Sacked-Yards,1-13,4-28
Net Pass Yards,295,404
Total Yards,419,475
Fumbles-Lost,1-1,1-1
Turnovers,1,4
Penalties-Yards,7-57,6-50
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-1,0-1
Time of Possession,27:26,32:34
