Quarter,Time,Down,ToGo,Location,GNB,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 66 yards, returned by Mike Goodson for 16 yards (tackle by Jamari Lattimore)",0.000,-0.220
1,14:55,1,10,CAR 15,0,0,Cam Newton pass complete deep right to Jeremy Shockey for 23 yards,-0.220,1.470
1,14:32,1,10,CAR 38,0,0,Cam Newton pass incomplete deep left intended for Jeremy Shockey,1.470,0.920
1,14:25,2,10,CAR 38,0,0,DeAngelo Williams right end for 4 yards (tackle by Jarrett Bush),0.920,0.760
1,13:09,3,6,CAR 42,0,0,Cam Newton pass complete short right to Jeremy Shockey for 18 yards (tackle by Jarrett Bush),0.760,2.920
1,13:09,1,10,GNB 40,0,0,Cam Newton pass complete short right to Steve Smith for 15 yards (tackle by Morgan Burnett),2.920,3.910
1,12:32,1,10,GNB 25,0,0,Cam Newton pass complete short left to Steve Smith for 12 yards (tackle by Charles Woodson). Penalty on Charles Woodson: Illegal Contact (Declined),3.910,4.710
1,12:01,1,10,GNB 13,0,0,"Cam Newton left tackle for 4 yards (tackle by Jarius Wynn). Penalty on Jerome Felton: Illegal Shift, 5 yards (no play)",4.710,4.290
1,11:26,1,15,GNB 18,0,0,"Cam Newton pass complete deep left to Greg Olsen for 18 yards. Penalty on Greg Olsen: Illegal Shift, 5 yards (no play)",4.290,4.040
1,11:20,,,,0,0,Timeout #1 by Carolina Panthers,0.000,4.040
1,11:20,1,20,GNB 23,0,0,Cam Newton pass complete short left to Jonathan Stewart for 19 yards (tackle by Clay Matthews),4.040,5.730
1,10:43,2,1,GNB 4,0,0,Cam Newton right tackle for 3 yards (tackle by Morgan Burnett),5.730,6.970
1,10:02,1,1,GNB 1,0,0,Jonathan Stewart up the middle for -2 yards (tackle by Clay Matthews and A.J. Hawk),6.970,5.530
1,9:25,2,3,GNB 3,0,6,"Cam Newton pass complete short right to Brandon LaFell for 3 yards, touchdown",5.530,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,,,,GNB 2,0,7,Olindo Mare kicks extra point good,0.000,0.000
1,,,,CAR 35,0,7,"Olindo Mare kicks off 63 yards, returned by Randall Cobb for 18 yards (tackle by Jordan Senn). Randall Cobb fumbles (forced by Jordan Senn), recovered by Sean Considine at GNB-26 (tackle by John Kuhn)",0.000,-3.840
1,9:13,1,10,GNB 26,0,7,Cam Newton pass complete short middle to DeAngelo Williams for 3 yards (tackle by Erik Walden),3.840,3.700
1,8:28,2,7,GNB 23,0,7,"Cam Newton pass incomplete short left intended for Jeremy Shockey. Penalty on Desmond Bishop: Roughing the Passer, 12 yards (no play)",3.700,4.840
1,8:23,1,10,GNB 11,0,7,Cam Newton pass incomplete short left intended for Greg Olsen,4.840,4.140
1,8:18,2,10,GNB 11,0,7,Cam Newton up the middle for 6 yards (tackle by Jarrett Bush),4.140,4.440
1,8:18,3,4,GNB 5,0,7,Cam Newton pass complete short middle to Jonathan Stewart for 3 yards (tackle by Desmond Bishop),4.440,3.250
1,6:36,4,1,GNB 2,0,10,Olindo Mare 20 yard field goal good,3.250,3.000
1,,,,CAR 35,0,10,"Olindo Mare kicks off 65 yards, touchback",0.000,0.280
1,6:32,1,10,GNB 20,0,10,Ryan Grant right end for 1 yard (tackle by Thomas Davis and Greg Hardy),0.280,-0.130
1,6:01,2,9,GNB 21,0,10,Aaron Rodgers pass complete short right to Ryan Grant for -2 yards (tackle by Chris Gamble),-0.130,-1.140
1,6:01,3,11,GNB 19,0,10,"Penalty on Jermichael Finley: False Start, 5 yards (no play)",-1.140,-2.030
1,4:57,3,16,GNB 14,0,10,Aaron Rodgers pass complete short right to James Jones for 15 yards (tackle by James Anderson),-2.030,-1.440
1,4:23,4,1,GNB 29,0,10,"Tim Masthay punts 47 yards, returned by Armanti Edwards for 7 yards (tackle by Ryan Taylor)",-1.440,-1.000
1,4:12,1,10,CAR 31,0,10,DeAngelo Williams left end for 1 yard (tackle by Desmond Bishop),1.000,0.600
1,3:38,2,9,CAR 32,0,10,Jonathan Stewart up the middle for 1 yard (tackle by Jarius Wynn),0.600,0.040
1,2:55,3,8,CAR 33,0,10,Cam Newton right end for 9 yards (tackle by Desmond Bishop),0.040,1.730
1,2:06,1,10,CAR 42,0,10,Cam Newton pass complete short left to Steve Smith for 21 yards (tackle by Morgan Burnett),1.730,3.120
1,1:21,1,10,GNB 37,0,10,Cam Newton pass complete deep right to Greg Olsen for 34 yards (tackle by Morgan Burnett),3.120,6.510
1,0:36,1,3,GNB 3,0,10,"Cam Newton up the middle for 2 yards (tackle by B.J. Raji). Penalty on Byron Bell: Offensive Holding, 10 yards (no play)",6.510,4.530
1,0:03,1,13,GNB 13,0,10,Jonathan Stewart right end for -2 yards (tackle by Clay Matthews),4.530,3.460
Quarter,Time,Down,ToGo,Location,GNB,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
