Unnamed: 0,OAK,ATL
First Downs,22,16
Rush-Yds-TDs,32-149-1,15-45-0
Cmp-Att-Yd-TD-INT,23-33-353-1-1,24-37-249-1-3
Sacked-Yards,3-28,1-8
Net Pass Yards,325,241
Total Yards,474,286
Fumbles-Lost,2-2,0-0
Turnovers,3,3
Penalties-Yards,12-110,2-25
Third Down Conv.,5-13,2-9
Fourth Down Conv.,0-0,0-0
Time of Possession,36:26,23:34
