Quarter,Time,Tm,Detail,OAK,ATL
1.0,0:24,Raiders,Sebastian Janikowski 52 yard field goal,3,0
2.0,9:51,Falcons,Roddy White 4 yard pass from Matt Ryan (Matt Bryant kick),3,7
,4:11,Raiders,Sebastian Janikowski 22 yard field goal,6,7
,1:50,Raiders,Denarius Moore 25 yard pass from Carson Palmer (Sebastian Janikowski kick),13,7
3.0,5:06,Falcons,Matt Bryant 41 yard field goal,13,10
,2:31,Falcons,Matt Bryant 20 yard field goal,13,13
4.0,2:40,Falcons,Asante Samuel 79 yard interception return (Matt Bryant kick),13,20
,0:40,Raiders,Darren McFadden 2 yard rush (Sebastian Janikowski kick),20,20
,0:01,Falcons,Matt Bryant 55 yard field goal,20,23
