Quarter,Time,Down,ToGo,Location,OAK,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Matt Ryan pass complete deep right to Julio Jones for 25 yards (tackle by Matt Giordano),0.280,1.930
1,14:36,1,10,ATL 45,0,0,Michael Turner right guard for 9 yards (tackle by Philip Wheeler),1.930,2.600
1,14:01,2,1,OAK 46,0,0,Michael Turner right tackle for 3 yards (tackle by Miles Burris and Philip Wheeler),2.600,2.720
1,13:21,1,10,OAK 43,0,0,Matt Ryan pass incomplete short middle intended for Harry Douglas is intercepted by Joselio Hanson at OAK-38 and returned for 21 yards (tackle by Matt Ryan),2.720,-2.850
1,13:13,1,10,ATL 41,0,0,Darren McFadden left end for 7 yards (tackle by Dunta Robinson),2.850,3.250
1,12:42,2,3,ATL 34,0,0,"Darren McFadden left end for no gain (tackle by William Moore). Penalty on Marcel Reece: Offensive Holding, 10 yards (no play)",3.250,1.900
1,12:11,2,13,ATL 44,0,0,"Darren McFadden left guard for -11 yards (tackle by Jonathan Babineaux). Darren McFadden fumbles (forced by Jonathan Babineaux), recovered by Robert McClain at OAK-45 and returned for 13 yards (tackle by Carson Palmer)",1.900,-3.450
1,12:02,1,10,OAK 32,0,0,Jacquizz Rodgers right guard for no gain (tackle by Matt Shaughnessy and Miles Burris),3.450,2.900
1,11:21,2,10,OAK 32,0,0,Matt Ryan pass complete short right to Julio Jones for 9 yards (tackle by Michael Huff and Rolando McClain),2.900,3.400
1,10:42,3,1,OAK 23,0,0,Jacquizz Rodgers left end for -2 yards (tackle by Matt Shaughnessy),3.400,1.900
1,10:02,4,3,OAK 25,0,0,Matt Bryant 43 yard field goal no good,1.900,-1.140
1,9:57,1,10,OAK 33,0,0,Carson Palmer pass complete short right to Brandon Myers for 9 yards (tackle by William Moore),1.140,1.810
1,9:28,2,1,OAK 42,0,0,Darren McFadden left guard for 4 yards (tackle by John Abraham),1.810,1.990
1,8:51,1,10,OAK 46,0,0,Carson Palmer pass incomplete short left intended for Denarius Moore,1.990,1.450
1,8:46,2,10,OAK 46,0,0,Darren McFadden right guard for -2 yards (tackle by John Abraham),1.450,0.500
1,8:06,3,12,OAK 44,0,0,Carson Palmer pass complete short left to Rod Streater for 14 yards (tackle by Dunta Robinson),0.500,2.790
1,7:26,1,10,ATL 42,0,0,Carson Palmer pass complete short left to Rod Streater for 3 yards (tackle by Dunta Robinson),2.790,2.650
1,6:43,2,7,ATL 39,0,0,Carson Palmer sacked by John Abraham for -9 yards,2.650,0.760
1,6:05,3,16,ATL 48,0,0,Darren McFadden right end for 8 yards (tackle by Thomas DeCoud),0.760,0.590
1,5:25,4,8,ATL 40,0,0,"Shane Lechler punts 40 yards, touchback",0.590,-0.280
1,5:15,1,10,ATL 20,0,0,"Matt Ryan pass complete deep left to Roddy White for 26 yards (tackle by Matt Giordano). Penalty on Matt Shaughnessy: Roughing the Passer, 15 yards",0.280,2.980
1,4:56,1,10,OAK 39,0,0,Matt Ryan pass incomplete deep middle intended for Julio Jones is intercepted by Michael Huff at OAK-2. Penalty on Tyson Clabo: Offensive Holding (Declined),2.980,0.380
1,4:48,1,10,OAK 2,0,0,Carson Palmer pass complete deep right to Denarius Moore for 49 yards (tackle by Asante Samuel),-0.380,2.320
1,4:04,1,10,ATL 49,0,0,Darren McFadden left guard for -1 yards (tackle by Jonathan Babineaux),2.320,1.650
1,3:26,2,11,,0,0,Darren McFadden right end for 7 yards (tackle by Kroy Biermann),1.650,1.880
1,2:47,3,4,ATL 43,0,0,Darrius Heyward-Bey left end for 20 yards (tackle by Robert McClain),1.880,4.040
1,2:02,1,10,ATL 23,0,0,Mike Goodson left end for 1 yard (tackle by Ray Edwards),4.040,3.630
1,1:20,2,9,ATL 22,0,0,"Carson Palmer pass incomplete short right intended for Derek Hagan. Penalty on Brandon Myers: Offensive Pass Interference, 10 yards (no play)",3.630,2.280
1,1:14,2,19,ATL 32,0,0,Darren McFadden right tackle for -1 yards (tackle by Jonathan Babineaux),2.280,1.490
1,0:33,3,20,ATL 33,0,0,Carson Palmer pass incomplete short left intended for David Ausberry,1.490,1.150
1,0:28,4,20,ATL 33,3,0,Sebastian Janikowski 52 yard field goal good,1.150,3.000
1,0:24,,,OAK 35,3,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
1,0:24,1,10,ATL 20,3,0,Matt Ryan pass complete short right to Roddy White for 9 yards,0.280,0.950
Quarter,Time,Down,ToGo,Location,OAK,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,ATL 29,3,0,Michael Turner left guard for 9 yards (tackle by Philip Wheeler),0.950,1.470
2,14:20,1,10,ATL 38,3,0,Michael Turner left guard for 5 yards (tackle by Tyvon Branch),1.470,1.600
2,13:45,2,5,ATL 43,3,0,Matt Ryan pass complete short left to Julio Jones for 10 yards (tackle by Phillip Adams and Philip Wheeler),1.600,2.460
2,12:58,1,10,OAK 47,3,0,Matt Ryan pass complete short middle to Harry Douglas for 8 yards (tackle by Joselio Hanson and Andre Carter),2.460,2.990
2,12:22,2,2,OAK 39,3,0,Matt Ryan pass complete short right to Roddy White for 14 yards (tackle by Michael Huff),2.990,3.910
2,11:53,1,10,OAK 25,3,0,Matt Ryan pass complete short left to Harry Douglas for 4 yards (tackle by Tyvon Branch),3.910,3.900
2,11:14,2,6,OAK 21,3,0,Matt Ryan pass complete short left to Julio Jones for 19 yards (tackle by Tyvon Branch),3.900,6.740
2,10:28,1,2,OAK 2,3,0,Michael Turner left end for -2 yards (tackle by Richard Seymour),6.740,5.340
2,9:56,2,4,OAK 4,3,6,"Matt Ryan pass complete short middle to Roddy White for 4 yards, touchdown",5.340,7.000
2,9:56,,,OAK 2,3,7,Matt Bryant kicks extra point good,0.000,0.000
2,9:51,,,ATL 35,3,7,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,9:51,1,10,OAK 20,3,7,Darren McFadden left end for 14 yards (tackle by Thomas DeCoud),0.280,1.200
2,9:14,1,10,OAK 34,3,7,Darren McFadden left end for 1 yard (tackle by Peria Jerry and Ray Edwards),1.200,0.790
