Unnamed: 0,DET,DEN
First Downs,21,19
Rush-Yds-TDs,28-113-1,30-195-0
Cmp-Att-Yd-TD-INT,22-32-272-3-0,18-39-172-1-1
Sacked-Yards,2-9,7-55
Net Pass Yards,263,117
Total Yards,376,312
Fumbles-Lost,0-0,5-2
Turnovers,0,3
Penalties-Yards,4-45,5-55
Third Down Conv.,4-12,2-14
Fourth Down Conv.,0-0,0-3
Time of Possession,29:34,30:26
