Quarter,Time,Down,ToGo,Location,DET,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jason Hanson kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Tim Tebow up the middle for 5 yards (tackle by Corey Williams),0.280,0.410
1,14:28,2,5,DEN 25,0,0,Knowshon Moreno up the middle for 10 yards (tackle by Louis Delmas),0.410,1.270
1,13:49,1,10,DEN 35,0,0,Tim Tebow pass complete short left to Eric Decker for 14 yards,1.270,2.190
1,13:26,1,10,DEN 49,0,0,Lance Ball right guard for 34 yards (tackle by Amari Spievey),2.190,4.440
1,12:36,1,10,DET 17,0,0,"Penalty on Tim Tebow: Delay of Game, 5 yards (no play)",4.440,4.110
1,12:19,1,15,DET 22,0,0,Knowshon Moreno left guard for 1 yard (tackle by Sammie Lee Hill),4.110,3.350
1,11:34,2,14,DET 21,0,0,Tim Tebow pass incomplete deep right intended for Eric Decker,3.350,2.680
,,,,,,,"DEN challenged the incomplete pass ruling, and the play was upheld.",,
1,11:31,3,14,DET 21,0,0,Tim Tebow pass incomplete short left intended for Knowshon Moreno. Penalty on Zane Beadles: Ineligible Downfield Pass (Declined),2.680,2.060
1,11:25,4,14,DET 21,0,3,Matt Prater 39 yard field goal good,2.060,3.000
1,,,,DEN 35,0,3,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,11:20,1,10,DET 20,0,3,Matthew Stafford pass complete short middle to Tony Scheffler for 9 yards (tackle by Chris Harris),0.280,0.950
1,10:50,2,1,DET 29,0,3,Matthew Stafford pass complete short right to Titus Young for 4 yards (tackle by Andre' Goodman),0.950,1.140
1,10:26,1,10,DET 33,0,3,Nate Burleson right end for 9 yards (tackle by Andre' Goodman),1.140,1.810
1,9:46,2,1,DET 42,0,3,Matthew Stafford pass complete short left to Titus Young for 13 yards,1.810,2.590
1,9:23,1,10,DEN 45,0,3,Maurice Morris left guard for 4 yards (tackle by Wesley Woodyard),2.590,2.580
1,8:48,2,6,DEN 41,6,3,"Matthew Stafford pass complete deep middle to Titus Young for 41 yards, touchdown",2.580,7.000
1,,,,DEN 2,7,3,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 35,7,3,"Jason Hanson kicks off 65 yards, returned by Cassius Vaughn for 21 yards (tackle by Stefan Logan)",0.000,0.340
1,8:33,1,10,DEN 21,7,3,Tim Tebow pass incomplete short left intended for Eddie Royal,0.340,-0.200
1,8:27,2,10,DEN 21,7,3,Knowshon Moreno up the middle for 2 yards (tackle by Lawrence Jackson),-0.200,-0.630
1,7:51,3,8,DEN 23,7,3,"Tim Tebow sacked by Cliff Avril for -8 yards. Tim Tebow fumbles (forced by Cliff Avril), recovered by Tim Tebow at DEN-15",-0.630,-2.440
1,7:35,4,16,DEN 15,7,3,"Britton Colquitt punts 48 yards, fair catch by Stefan Logan",-2.440,-1.400
1,7:28,1,10,DET 37,7,3,Maurice Morris right guard for 12 yards (tackle by Quinton Carter),1.400,2.190
1,6:48,1,10,DET 49,7,3,Matthew Stafford pass complete short right to Brandon Pettigrew for -4 yards (tackle by Von Miller),2.190,1.110
1,6:07,2,14,DET 45,7,3,Matthew Stafford pass complete short middle to Brandon Pettigrew for 5 yards (tackle by Chris Harris),1.110,1.090
1,5:24,3,9,,7,3,Matthew Stafford sacked by Ryan McBean for -2 yards,1.090,-0.190
