Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SFO 20,0,0,Shaun Draughn right guard for no gain (tackle by Mitch Unrein),0.280,-0.270
1,14:31,2,10,SFO 20,0,0,Blaine Gabbert pass incomplete short left intended for Anquan Boldin (defended by Kyle Fuller),-0.270,-0.960
1,14:26,3,10,SFO 20,0,0,Blaine Gabbert pass complete short left to Shaun Draughn for -3 yards (tackle by Jonathan Anderson),-0.960,-2.320
1,14:00,4,13,SFO 17,0,0,"Bradley Pinion punts 48 yards, returned by Bryce Callahan for 65 yards. Penalty on LaRoy Reynolds: Offensive Holding, 10 yards",-2.320,-2.850
1,13:42,1,10,SFO 41,0,0,Matt Forte left guard for 2 yards (tackle by Quinton Dial),2.850,2.580
1,13:00,2,8,SFO 39,0,0,Jay Cutler pass complete short left to Martellus Bennett for 7 yards (tackle by NaVorro Bowman),2.580,2.810
1,12:31,3,1,SFO 32,0,0,Matt Forte left guard for 2 yards (tackle by NaVorro Bowman),2.810,3.580
1,11:51,1,10,SFO 30,0,0,Jay Cutler pass incomplete deep right intended for Josh Bellamy (defended by Tramaine Brock),3.580,3.030
1,11:44,2,10,SFO 30,0,0,Matt Forte right guard for 7 yards (tackle by Ahmad Brooks),3.030,3.270
1,11:02,3,3,SFO 23,0,0,Jay Cutler pass complete short right to Martellus Bennett for 1 yard (tackle by Jimmie Ward),3.270,2.120
1,10:22,4,2,SFO 22,0,3,Robbie Gould 40 yard field goal good,2.120,3.000
1,10:22,,,CHI 35,0,3,"Robbie Gould kicks off 55 yards, returned by Quinton Patton for 23 yards (tackle by Chris Prosinski). Penalty on Tony Jerod-Eddie: Offensive Holding, 10 yards",0.000,-0.040
1,10:09,1,10,SFO 18,0,3,Shaun Draughn left end for 4 yards (tackle by Jarvis Jenkins),0.040,0.140
1,9:41,2,6,SFO 22,0,3,Blaine Gabbert pass incomplete short right intended for Anquan Boldin,0.140,-0.660
