Unnamed: 0,SFO,CHI
First Downs,13,20
Rush-Yds-TDs,23-121-2,42-170-2
Cmp-Att-Yd-TD-INT,18-32-196-1-0,18-31-202-0-1
Sacked-Yards,4-26,1-8
Net Pass Yards,170,194
Total Yards,291,364
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,6-50,8-72
Third Down Conv.,7-16,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,24:46,37:24
