Quarter,Time,Tm,Detail,CAR,SFO
1.0,10:45,49ers,Phil Dawson 52 yard field goal,0,3
2.0,13:34,49ers,Phil Dawson 43 yard field goal,0,6
,6:16,49ers,Phil Dawson 25 yard field goal,0,9
,1:52,Panthers,DeAngelo Williams 27 yard rush (Graham Gano kick),7,9
4.0,10:05,Panthers,Graham Gano 53 yard field goal,10,9
