Unnamed: 0,CAR,SFO
First Downs,15,10
Rush-Yds-TDs,31-109-1,24-105-0
Cmp-Att-Yd-TD-INT,16-32-169-0-1,11-22-91-0-1
Sacked-Yards,3-28,6-45
Net Pass Yards,141,46
Total Yards,250,151
Fumbles-Lost,3-1,1-1
Turnovers,2,2
Penalties-Yards,3-25,4-25
Third Down Conv.,7-17,2-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:03,27:57
