Unnamed: 0,ARI,SFO
First Downs,10,33
Rush-Yds-TDs,23-56-2,34-147-1
Cmp-Att-Yd-TD-INT,10-25-170-1-0,34-54-349-2-2
Sacked-Yards,1-6,4-49
Net Pass Yards,164,300
Total Yards,220,447
Fumbles-Lost,1-0,4-3
Turnovers,0,5
Penalties-Yards,5-46,9-65
Third Down Conv.,2-12,10-17
Fourth Down Conv.,0-0,1-2
Time of Possession,19:48,40:12
