Quarter,Time,Tm,Detail,ARI,SFO
1.0,9:49,49ers,Matt Breida 5 yard pass from C.J. Beathard (run failed),0,6
,9:39,Cardinals,Christian Kirk 75 yard pass from Josh Rosen (Phil Dawson kick),7,6
2.0,11:00,Cardinals,David Johnson 2 yard rush (Phil Dawson kick),14,6
4.0,6:51,49ers,Trent Taylor 1 yard pass from C.J. Beathard (pass failed),14,12
,4:33,Cardinals,Josh Bynes 23 yard fumble return (Phil Dawson kick),21,12
,3:21,Cardinals,David Johnson 6 yard rush (Phil Dawson kick),28,12
,1:29,49ers,C.J. Beathard 1 yard rush (pass failed),28,18
