Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Johnson,ARI,18,55,2,3,28,1.6,27,1.5,0,
Josh Rosen,ARI,3,-3,0,0,-3,-1.0,0,0.0,0,
Chase Edmonds,ARI,1,-1,0,,-1,-1.0,0,0.0,0,
Christian Kirk,ARI,1,5,0,1,5,5.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alfred Morris,SFO,18,61,0,3,29,1.6,32,1.8,2,9.0
Matt Breida,SFO,8,56,0,2,32,4.0,24,3.0,3,2.7
Raheem Mostert,SFO,5,11,0,1,1,0.2,10,2.0,0,
C.J. Beathard,SFO,2,7,1,2,4,2.0,3,1.5,0,
Kyle Juszczyk,SFO,1,12,0,1,6,6.0,6,6.0,0,
