Unnamed: 0,TAM,ATL
First Downs,18,22
Rush-Yds-TDs,14-35-0,38-251-3
Cmp-Att-Yd-TD-INT,31-45-274-2-3,13-21-177-2-1
Sacked-Yards,2-15,0-0
Net Pass Yards,259,177
Total Yards,294,428
Fumbles-Lost,3-1,1-1
Turnovers,4,2
Penalties-Yards,2-20,3-20
Third Down Conv.,6-12,6-11
Fourth Down Conv.,0-1,1-1
Time of Possession,29:52,30:08
