Quarter,Time,Tm,Detail,SEA,MIA
2.0,5:13,Dolphins,Reggie Bush 21 yard rush (Dan Carpenter kick),0,7
,0:29,Seahawks,Anthony McCoy 3 yard pass from Russell Wilson (Stephen Hauschka kick),7,7
3.0,4:00,Seahawks,Michael Robinson 4 yard pass from Russell Wilson (Stephen Hauschka kick),14,7
4.0,8:08,Dolphins,Daniel Thomas 3 yard rush (Dan Carpenter kick),14,14
,7:54,Seahawks,Leon Washington 98 yard kickoff return (Stephen Hauschka kick),21,14
,5:13,Dolphins,Charles Clay 29 yard pass from Ryan Tannehill (Dan Carpenter kick),21,21
,0:00,Dolphins,Dan Carpenter 43 yard field goal,21,24
