Unnamed: 0,SFO,NYG
First Downs,22,30
Rush-Yds-TDs,27-124-1,21-84-0
Cmp-Att-Yd-TD-INT,23-35-262-2-0,41-54-441-3-1
Sacked-Yards,2-6,0-0
Net Pass Yards,256,441
Total Yards,380,525
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,4-28,6-65
Third Down Conv.,8-14,9-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:02,31:58
