Unnamed: 0,PHI,STL
First Downs,27,21
Rush-Yds-TDs,32-236-1,26-154-1
Cmp-Att-Yd-TD-INT,14-32-187-2-0,18-35-209-0-0
Sacked-Yards,3-20,5-28
Net Pass Yards,167,181
Total Yards,403,335
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,8-91,9-60
Third Down Conv.,8-13,2-12
Fourth Down Conv.,0-1,2-3
Time of Possession,30:14,29:46
