Unnamed: 0,CLE,CIN
First Downs,18,23
Rush-Yds-TDs,25-71-0,26-136-1
Cmp-Att-Yd-TD-INT,26-43-276-1-1,18-33-239-2-1
Sacked-Yards,2-3,2-12
Net Pass Yards,273,227
Total Yards,344,363
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-98,4-36
Third Down Conv.,4-15,6-15
Fourth Down Conv.,3-6,0-0
Time of Possession,31:52,28:08
