Quarter,Time,Tm,Detail,CLE,CIN
2.0,9:43,Bengals,Ja'Marr Chase 15 yard pass from Joe Burrow (Evan McPherson kick),0,7
,2:59,Browns,Cade York 26 yard field goal,3,7
,0:24,Bengals,Samaje Perine 6 yard rush (Evan McPherson kick failed),3,13
3.0,7:26,Bengals,Trenton Irwin 45 yard pass from Joe Burrow (Evan McPherson kick),3,20
,2:17,Browns,David Njoku 13 yard pass from Deshaun Watson (Cade York kick),10,20
4.0,14:57,Bengals,Evan McPherson 30 yard field goal,10,23
