Quarter,Time,Tm,Detail,NYJ,ARI
1.0,9:51,Cardinals,David Johnson 58 yard rush (Chandler Catanzaro kick),0,7
2.0,12:06,Jets,Nick Folk 39 yard field goal,3,7
,6:43,Cardinals,David Johnson 2 yard rush (Chandler Catanzaro kick),3,14
3.0,5:24,Cardinals,David Johnson 2 yard rush (Chandler Catanzaro kick),3,21
4.0,8:20,Cardinals,Michael Floyd 9 yard pass from Carson Palmer (Chandler Catanzaro kick),3,28
