Unnamed: 0,NYJ,ARI
First Downs,11,28
Rush-Yds-TDs,14-33-0,35-171-3
Cmp-Att-Yd-TD-INT,20-37-205-0-2,24-35-225-1-0
Sacked-Yards,1-8,0-0
Net Pass Yards,197,225
Total Yards,230,396
Fumbles-Lost,1-0,3-0
Turnovers,2,0
Penalties-Yards,10-83,9-64
Third Down Conv.,2-13,6-11
Fourth Down Conv.,1-2,0-0
Time of Possession,23:58,36:02
