Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Carson Palmer pass complete short right to Darren Fells for 8 yards (tackle by Calvin Pryor),0.610,1.140
1,14:26,2,2,ARI 33,0,0,David Johnson right tackle for 3 yards (tackle by Darron Lee and Leonard Williams),1.140,1.330
1,13:52,1,10,ARI 36,0,0,"Carson Palmer for no gain. Carson Palmer fumbles, recovered by Carson Palmer at ARI-34",1.330,0.520
1,13:10,2,12,ARI 34,0,0,Carson Palmer pass complete short right to Larry Fitzgerald for 10 yards (tackle by Darrelle Revis),0.520,1.160
1,12:28,3,2,ARI 44,0,0,Carson Palmer pass incomplete short left intended for David Johnson,1.160,-0.460
1,12:22,4,2,ARI 44,0,0,Ryan Quigley punts 47 yards,-0.460,0.380
1,12:12,1,10,NYJ 9,0,0,Matt Forte middle for -4 yards (tackle by Josh Mauro),-0.380,-1.070
1,11:33,2,14,NYJ 5,0,0,Ryan Fitzpatrick pass complete short left to Matt Forte for 3 yards (tackle by Deone Bucannon),-1.070,-1.540
1,10:49,3,11,NYJ 8,0,0,Ryan Fitzpatrick pass complete short left to Bilal Powell for 4 yards (tackle by Markus Golden),-1.540,-2.490
1,10:12,4,7,NYJ 12,0,0,"Lac Edwards punts 36 yards, fair catch by John Brown. Penalty on Brittan Golden: Illegal Block Above the Waist, 10 yards",-2.490,-1.730
1,10:03,1,10,ARI 42,0,6,"David Johnson left end for 58 yards, touchdown",1.730,7.000
1,10:03,,,NYJ 42,0,7,Chandler Catanzaro kicks extra point good,0.000,0.000
1,10:03,,,ARI 35,0,7,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
1,9:51,1,10,NYJ 25,0,7,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 11 yards (tackle by Tyrann Mathieu),0.610,1.330
1,9:13,1,10,NYJ 36,0,7,"Penalty on Brent Qvale: False Start, 5 yards (no play)",1.330,1.000
1,8:47,1,15,NYJ 31,0,7,"Penalty on Kellen Davis: False Start, 5 yards (no play)",1.000,0.670
1,8:21,1,20,NYJ 26,0,7,Ryan Fitzpatrick pass incomplete short middle intended for Charone Peake,0.670,-0.560
1,8:16,2,20,NYJ 26,0,7,Matt Forte middle for 7 yards (tackle by D.J. Swearinger),-0.560,-0.300
1,7:36,3,13,NYJ 33,0,7,Ryan Fitzpatrick pass incomplete deep right intended for Brandon Marshall,-0.300,-1.180
1,7:30,4,13,NYJ 33,0,7,"Lac Edwards punts 49 yards, returned by John Brown for 6 yards (tackle by Bruce Carter)",-1.180,-0.540
1,7:18,1,10,ARI 24,0,7,Carson Palmer pass complete short left to Larry Fitzgerald for 11 yards (tackle by Buster Skrine),0.540,1.270
1,6:36,1,10,ARI 35,0,7,David Johnson right end for 2 yards (tackle by Jordan Jenkins),1.270,0.990
1,5:56,2,8,ARI 37,0,7,David Johnson left tackle for 1 yard (tackle by Steve McLendon),0.990,0.430
1,5:14,3,7,ARI 38,0,7,"Carson Palmer pass incomplete short right intended for Larry Fitzgerald. Penalty on Darrelle Revis: Defensive Holding, 5 yards (no play)",0.430,1.800
1,5:08,1,10,ARI 43,0,7,"Carson Palmer pass incomplete deep middle intended for JJ Nelson (defended by Marcus Williams). Penalty on Sheldon Richardson: Defensive Offside, 5 yards, Penalty on Buster Skrine: Defensive Holding (Declined) (no play)",1.800,2.530
1,4:59,1,5,ARI 48,0,7,"Carson Palmer pass incomplete short right intended for John Brown. Penalty on Buster Skrine: Defensive Holding, 5 yards (no play)",2.530,2.460
1,4:54,1,10,NYJ 47,0,7,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald,2.460,1.910
1,4:49,2,10,NYJ 47,0,7,David Johnson left tackle for 1 yard (tackle by Leonard Williams and Erin Henderson),1.910,1.350
1,4:05,3,9,NYJ 46,0,7,Carson Palmer pass complete short right to Larry Fitzgerald for no gain,1.350,0.200
1,3:37,4,9,NYJ 46,0,7,"Ryan Quigley punts 34 yards, fair catch by Jalin Marshall",0.200,0.350
1,3:30,1,10,NYJ 12,0,7,Ryan Fitzpatrick middle for 2 yards (tackle by Rodney Gunter),-0.350,-0.610
1,2:50,2,8,NYJ 14,0,7,Bilal Powell left tackle for 2 yards (tackle by Kevin Minter and Chandler Jones),-0.610,-0.950
1,2:08,3,6,NYJ 16,0,7,Ryan Fitzpatrick pass incomplete short right intended for Brandon Marshall,-0.950,-2.390
1,2:03,4,6,NYJ 16,0,7,"Lac Edwards punts 49 yards, returned by John Brown for -3 yards (tackle by Charone Peake)",-2.390,-1.070
1,1:50,1,10,ARI 32,0,7,David Johnson middle for no gain (tackle by Sheldon Richardson),1.070,0.530
1,1:13,2,10,ARI 32,0,7,Carson Palmer pass complete short middle to Jaron Brown for 6 yards (tackle by Buster Skrine),0.530,0.630
