Quarter,Time,Tm,Detail,HOU,OAK
1.0,10:06,Texans,Derrick Ward 33 yard rush (Neil Rackers kick),7,0
,6:14,Raiders,Michael Bush 2 yard rush (Sebastian Janikowski kick),7,7
,0:23,Texans,Joel Dreessen 11 yard pass from Matt Schaub (Neil Rackers kick),14,7
2.0,6:50,Raiders,Marcel Reece 13 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),14,14
3.0,14:16,Texans,Arian Foster 74 yard rush (Neil Rackers kick),21,14
,2:35,Texans,Neil Rackers 35 yard field goal,24,14
4.0,14:54,Texans,Arian Foster 10 yard pass from Matt Schaub (Neil Rackers kick),31,14
,10:56,Raiders,Zach Miller 14 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),31,21
,6:13,Raiders,Sebastian Janikowski 39 yard field goal,31,24
