Quarter,Time,Tm,Detail,MIN,WAS
1.0,7:07,Redskins,Fred Davis 10 yard pass from Donovan McNabb (Graham Gano kick),0,7
,3:21,Vikings,Adrian Peterson 5 yard rush (Ryan Longwell kick),7,7
3.0,9:48,Vikings,Toby Gerhart 5 yard rush (Ryan Longwell kick),14,7
,0:52,Vikings,Ryan Longwell 31 yard field goal,17,7
4.0,13:34,Redskins,Graham Gano 40 yard field goal,17,10
,10:02,Redskins,Graham Gano 42 yard field goal,17,13
