Unnamed: 0,MIN,WAS
First Downs,17,10
Rush-Yds-TDs,38-137-2,13-29-0
Cmp-Att-Yd-TD-INT,15-23-172-0-0,21-35-211-1-1
Sacked-Yards,2-10,4-24
Net Pass Yards,162,187
Total Yards,299,216
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,3-15,6-35
Third Down Conv.,6-15,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,33:05,26:55
