Unnamed: 0,PIT,NYJ
First Downs,16,15
Rush-Yds-TDs,24-94-0,36-175-0
Cmp-Att-Yd-TD-INT,16-38-137-0-0,15-25-144-0-0
Sacked-Yards,0-0,0-0
Net Pass Yards,137,144
Total Yards,231,319
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,4-19,4-40
Third Down Conv.,5-14,7-16
Fourth Down Conv.,0-2,0-0
Time of Possession,30:03,29:57
