Quarter,Time,Down,ToGo,Location,PIT,NYJ,Detail,EPB,EPA
2,13:27,3,21,NYJ 47,0,3,Chad Pennington pass complete to Curtis Martin for 9 yards (tackle by Aaron Smith),0.100,0.330
2,12:48,4,12,PIT 44,0,3,Dan Stryzinski punts 32 yards,0.330,0.350
2,12:40,1,10,PIT 12,0,3,Jerome Bettis left tackle for 5 yards (tackle by Sam Garnes and Tyrone Carter),-0.350,-0.230
2,12:04,2,5,PIT 17,0,3,Jerome Bettis right end for 3 yards (tackle by Dewayne Robertson),-0.230,-0.480
2,11:20,3,2,PIT 20,0,3,(tackle by Jason Ferguson),-0.480,0.940
2,10:35,1,10,PIT 30,0,3,Tommy Maddox pass incomplete intended for Hines Ward (defended by Ray Mickens),0.940,0.390
2,10:29,2,10,PIT 30,0,3,Tommy Maddox pass complete to Hines Ward for 15 yards (tackle by Ray Mickens),0.390,1.930
2,9:47,1,10,PIT 45,0,3,Tommy Maddox pass complete to Hines Ward for 6 yards (tackle by Tyrone Carter),1.930,2.190
2,9:21,2,4,NYJ 49,0,3,Dan Kreider up the middle for 2 yards (tackle by Victor Hobson and Marvin Jones),2.190,1.750
2,8:37,3,2,NYJ 47,0,3,Tommy Maddox pass incomplete intended for Chris Doering,1.750,0.130
2,8:33,4,2,NYJ 47,0,3,"Josh Miller punts 37 yards, fair catch by Santana Moss",0.130,0.380
2,8:26,1,10,NYJ 10,0,3,Curtis Martin right tackle for 3 yards (tackle by Kendrell Bell and Jason Gildon),-0.380,-0.560
2,7:52,2,7,NYJ 13,0,3,Chad Pennington pass complete to Santana Moss for 8 yards (tackle by Deshea Townsend),-0.560,0.340
2,7:23,1,10,NYJ 21,0,3,Curtis Martin left guard for 5 yards (tackle by Kendrell Bell),0.340,0.480
2,6:45,2,5,NYJ 26,0,3,Curtis Martin left tackle for 3 yards (tackle by Aaron Smith),0.480,0.170
2,5:56,3,2,NYJ 29,0,3,Chad Pennington up the middle for 2 yards (tackle by Aaron Smith),0.170,1.000
2,5:14,1,10,NYJ 31,0,3,Chad Pennington pass incomplete intended for Santana Moss,1.000,0.460
2,5:06,2,10,NYJ 31,0,3,Curtis Martin left guard for 4 yards (tackle by Casey Hampton),0.460,0.300
2,4:28,3,6,NYJ 35,0,3,Chad Pennington pass incomplete intended for Curtis Martin,0.300,-1.040
2,4:12,4,6,NYJ 35,0,3,"Dan Stryzinski punts 39 yards, returned by Antwaan Randle El for 24 yards (tackle by Dan Stryzinski)",-1.040,-2.260
2,4:07,1,10,NYJ 50,0,3,Jerome Bettis left guard for 5 yards (tackle by Marvin Jones and Jason Ferguson),2.260,2.390
2,3:33,2,5,NYJ 45,0,3,Tommy Maddox pass incomplete intended for Hines Ward,2.390,1.690
2,3:26,3,5,NYJ 45,0,3,Tommy Maddox pass complete to Antwaan Randle El for 4 yards (tackle by Ray Mickens),1.690,0.530
2,2:44,,,,0,3,Timeout #1 by Pittsburgh Steelers,0.000,0.530
2,2:44,4,1,NYJ 41,0,3,"Josh Miller punts 27 yards, returned by Santana Moss for 5 yards (tackle by Chidi Iwuoma)",0.530,-0.150
2,2:34,1,10,NYJ 19,0,3,Chad Pennington pass incomplete intended for Santana Moss (defended by Deshea Townsend),0.150,-0.390
2,2:29,2,10,NYJ 19,0,3,Chad Pennington pass complete to Curtis Martin for 2 yards (tackle by Aaron Smith),-0.390,-0.810
2,2:00,3,8,NYJ 21,0,3,"Chad Pennington pass incomplete intended for Curtis Conway. Penalty on Dewayne Washington: Defensive Pass Interference, 8 yards (no play)",-0.810,0.870
2,1:56,1,10,NYJ 29,0,3,Curtis Martin left tackle for 1 yard,0.870,0.460
2,1:19,2,9,NYJ 30,0,3,Curtis Martin right tackle for 8 yards (tackle by Kendrell Bell),0.460,0.830
2,1:01,,,,0,3,Timeout #1 by New York Jets,0.000,0.830
2,1:01,3,1,NYJ 38,0,3,Chad Pennington pass complete to Anthony Becht for 9 yards (tackle by Jason Gildon),0.830,2.060
2,0:54,1,10,NYJ 47,0,3,Chad Pennington pass complete to Curtis Martin for 29 yards (tackle by Mike Logan),2.060,3.970
2,0:41,,,,0,3,Timeout #2 by New York Jets,0.000,3.970
2,0:33,1,10,PIT 24,0,3,Chad Pennington pass incomplete intended for Santana Moss,3.970,3.430
2,0:33,2,10,PIT 24,0,3,Chad Pennington pass incomplete intended for Anthony Becht (defended by Deshea Townsend),3.430,2.740
2,0:27,3,10,PIT 24,0,3,Curtis Martin right end for 1 yard (tackle by Ike Taylor),2.740,1.930
2,0:08,,,,0,3,Timeout #2 by Pittsburgh Steelers,0.000,1.930
2,0:08,4,9,PIT 23,0,6,Doug Brien 41 yard field goal good,1.930,3.000
2,,,,NYJ 30,0,6,"Doug Brien kicks off 44 yards, returned by Ike Taylor for 19 yards (tackle by Derek Pagel)",0.000,0.940
Quarter,Time,Down,ToGo,Location,PIT,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,0,6,"Doug Brien kicks off 49 yards, returned by Ike Taylor for 15 yards (tackle by Omare Lowe)",0.000,1.330
3,14:54,1,10,PIT 36,0,6,Jerome Bettis left tackle for 7 yards (tackle by Sam Garnes and Tyrone Carter),1.330,1.740
3,14:17,2,3,PIT 43,0,6,Jerome Bettis left tackle for 5 yards (tackle by Dewayne Robertson and Jason Ferguson),1.740,2.130
3,13:38,1,10,PIT 48,0,6,Tommy Maddox pass incomplete intended for Plaxico Burress,2.130,1.580
3,13:03,2,10,PIT 48,0,6,Tommy Maddox pass complete to Amos Zereoue for 6 yards (tackle by Dewayne Robertson),1.580,1.680
3,12:48,3,4,NYJ 46,0,6,Tommy Maddox pass incomplete intended for Hines Ward (defended by Ray Mickens),1.680,0.200
3,12:43,4,4,NYJ 46,0,6,"Josh Miller punts 34 yards, returned by Santana Moss for no gain",0.200,0.350
3,12:35,1,10,NYJ 12,0,6,Curtis Martin up the middle for 2 yards,-0.350,-0.610
3,12:00,2,8,NYJ 14,0,6,Curtis Martin right guard for 7 yards (tackle by Casey Hampton),-0.610,-0.370
3,11:20,3,1,NYJ 21,0,6,Curtis Martin left end for 20 yards (tackle by Mike Logan),-0.370,1.660
3,10:50,1,10,NYJ 41,0,6,Chad Pennington pass complete to Santana Moss for 18 yards (tackle by Brent Alexander),1.660,2.850
3,10:04,1,10,PIT 41,0,6,Curtis Martin left tackle for 5 yards (tackle by James Farrior),2.850,2.980
3,9:27,2,5,PIT 36,0,6,Chad Pennington pass incomplete intended for Santana Moss,2.980,2.280
3,9:23,3,5,PIT 36,0,6,Chad Pennington pass complete to Anthony Becht for 2 yards,2.280,1.090
3,9:16,4,3,PIT 34,0,6,"Dan Stryzinski punts 20 yards, fair catch by Antwaan Randle El",1.090,0.280
3,9:09,1,10,PIT 14,0,6,Jerome Bettis right end for 4 yards (tackle by Marvin Jones),-0.280,-0.210
3,8:29,2,6,PIT 18,0,6,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Aaron Beasley),-0.210,-0.920
3,8:24,3,6,PIT 18,0,6,Tommy Maddox pass incomplete intended for Hines Ward,-0.920,-2.240
3,8:18,4,6,PIT 18,0,6,Josh Miller punts 36 yards,-2.240,-1.990
3,8:07,1,10,NYJ 46,0,6,Curtis Martin right end for 8 yards (tackle by Kendrell Bell),1.990,2.530
3,7:25,2,2,PIT 46,0,6,Chad Pennington pass incomplete intended for Curtis Conway,2.530,1.820
3,7:19,3,2,PIT 46,0,6,Curtis Martin left tackle for 1 yard (tackle by Kendrell Bell),1.820,0.270
3,6:36,4,1,PIT 45,0,6,Dan Stryzinski punts 43 yards,0.270,0.380
3,6:23,1,10,PIT 2,0,6,"Penalty on Dan Kreider: False Start, 1 yards (no play)",-0.380,-0.420
3,6:23,1,11,PIT 1,0,6,Jerome Bettis right guard for 4 yards (tackle by Sam Garnes and Shaun Ellis),-0.420,-0.560
3,5:47,2,7,PIT 5,0,6,Tommy Maddox pass complete to Plaxico Burress for 17 yards (tackle by Aaron Beasley),-0.560,0.410
3,5:08,1,10,PIT 22,0,6,Jerome Bettis left end for 3 yards (tackle by James Reed and Sam Garnes),0.410,0.270
3,5:08,2,7,PIT 25,0,6,"Penalty on Kendall Simmons: False Start, 5 yards (no play)",0.270,-0.400
3,3:40,2,12,PIT 20,0,6,"Tommy Maddox pass complete to Jerome Bettis for -4 yards (tackle by Marvin Jones). Penalty on Shaun Ellis: Personal Foul, 15 yards",-0.400,1.000
3,2:58,1,10,PIT 31,0,6,Jerome Bettis left end for 2 yards (tackle by Tyrone Carter and Jason Glenn),1.000,0.730
3,2:41,2,8,PIT 33,0,6,Tommy Maddox pass complete to Jerome Bettis for 3 yards (tackle by Jason Glenn),0.730,0.430
3,2:20,3,5,PIT 36,0,6,Tommy Maddox pass complete to Antwaan Randle El for 10 yards (tackle by Ray Mickens),0.430,1.990
3,1:36,1,10,PIT 46,0,6,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Aaron Beasley),1.990,1.450
3,1:27,2,10,PIT 46,0,6,Amos Zereoue left guard for 1 yard (tackle by Jason Glenn and Bryan Thomas),1.450,0.890
3,0:45,3,9,PIT 47,0,6,Tommy Maddox pass incomplete intended for Hines Ward,0.890,-0.260
3,0:40,4,9,PIT 47,0,6,"Josh Miller punts 39 yards, returned by Santana Moss for no gain",-0.260,0.280
3,0:31,1,10,NYJ 14,0,6,Curtis Martin up the middle for 2 yards (tackle by Brent Alexander),-0.280,-0.510
Quarter,Time,Down,ToGo,Location,PIT,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,NYJ 16,0,6,Curtis Martin right guard for 4 yards (tackle by Aaron Smith and Brent Alexander),-0.510,-0.680
4,14:18,3,4,NYJ 20,0,6,Chad Pennington pass incomplete intended for Kevin Lockett (defended by Deshea Townsend),-0.680,-2.030
4,14:14,4,4,NYJ 20,0,6,"Dan Stryzinski punts 34 yards, returned by Antwaan Randle El for 11 yards (tackle by Marvin Jones)",-2.030,-2.720
4,14:02,1,10,NYJ 43,0,6,Tommy Maddox pass complete to Amos Zereoue for 4 yards (tackle by Jason Glenn),2.720,2.720
4,13:24,2,6,NYJ 39,0,6,Amos Zereoue left tackle for 8 yards (tackle by Tyrone Carter),2.720,3.510
4,12:55,1,10,NYJ 31,0,6,Tommy Maddox pass complete to Hines Ward for 25 yards (tackle by Tyrone Carter),3.510,5.830
4,12:09,1,6,NYJ 6,0,6,Amos Zereoue left end for no gain (tackle by Sam Garnes and Victor Hobson),5.830,4.950
4,11:27,2,6,NYJ 6,0,6,Tommy Maddox pass incomplete intended for Jay Riemersma (defended by Jason Ferguson),4.950,4.040
4,11:21,3,6,NYJ 6,0,6,"Tommy Maddox pass incomplete is intercepted by Ray Mickens at NYJ-0. Penalty on Aaron Beasley: Roughing the Passer, 3 yards (no play)",4.040,6.510
4,10:33,1,3,NYJ 3,0,6,Amos Zereoue left guard for no gain (tackle by Marvin Jones),6.510,5.530
4,10:27,2,3,NYJ 3,0,6,Tommy Maddox pass incomplete intended for Jay Riemersma,5.530,4.720
4,10:26,3,3,NYJ 3,0,6,Tommy Maddox pass incomplete intended for Hines Ward,4.720,3.040
4,10:26,4,3,NYJ 3,0,6,Jeff Reed 20 yard field goal no good,3.040,-0.280
4,10:18,1,10,NYJ 20,0,6,Curtis Martin left guard for no gain (tackle by Aaron Smith),0.280,-0.270
4,9:40,2,10,NYJ 20,0,6,Chad Pennington pass complete to Curtis Martin for 14 yards (tackle by Kendrell Bell),-0.270,1.200
4,9:00,1,10,NYJ 34,0,6,Curtis Martin left guard for 56 yards (tackle by Deshea Townsend),1.200,4.910
4,8:05,1,10,PIT 10,0,6,"Chad Pennington for no gain. Chad Pennington fumbles, recovered by Mike Logan at PIT-13 and returned for 9 yards (tackle by Santana Moss)",4.910,-0.410
4,8:00,1,10,PIT 22,0,6,Jerome Bettis right tackle for 4 yards (tackle by Shaun Ellis and Sam Garnes),0.410,0.410
4,7:14,2,6,PIT 26,0,6,Tommy Maddox pass complete to Lee Mays for 8 yards (tackle by Tyrone Carter),0.410,1.200
4,6:35,1,10,PIT 34,0,6,Jerome Bettis right end for 1 yard (tackle by Marvin Jones),1.200,0.790
4,5:53,2,9,PIT 35,0,6,Amos Zereoue right guard for 5 yards (tackle by Jason Ferguson and Victor Hobson),0.790,0.760
4,5:07,3,4,PIT 40,0,6,Tommy Maddox pass complete to Hines Ward for 15 yards (tackle by Tyrone Carter),0.760,2.590
4,4:32,1,10,NYJ 45,0,6,"Tommy Maddox pass incomplete intended for Hines Ward. Penalty on Ray Mickens: Defensive Pass Interference, 17 yards (no play)",2.590,3.710
4,4:23,1,10,NYJ 28,0,6,Tommy Maddox pass complete to Jerome Bettis for 8 yards (tackle by Victor Hobson),3.710,4.250
4,3:42,2,2,NYJ 20,0,6,Jerome Bettis left guard for 4 yards (tackle by Chester McGlockton),4.250,4.510
4,3:04,1,10,NYJ 16,0,6,Tommy Maddox pass incomplete intended for Mark Bruener,4.510,3.900
4,2:59,2,10,NYJ 16,0,6,Tommy Maddox pass incomplete intended for Dan Kreider,3.900,3.080
4,2:53,3,10,NYJ 16,0,6,Tommy Maddox pass incomplete intended for Chris Doering,3.080,2.380
4,2:48,4,10,NYJ 16,0,6,Tommy Maddox pass incomplete intended for Hines Ward,2.380,0.140
4,2:44,1,10,NYJ 16,0,6,Curtis Martin right guard for 3 yards (tackle by James Farrior),-0.140,-0.180
4,2:37,,,,0,6,Timeout #1 by Pittsburgh Steelers,0.000,-0.180
4,2:37,2,7,NYJ 19,0,6,Curtis Martin left tackle for 2 yards (tackle by Joey Porter),-0.180,-0.700
4,2:31,,,,0,6,Timeout #2 by Pittsburgh Steelers,0.000,-0.700
4,2:31,3,5,NYJ 21,0,6,Chad Pennington pass incomplete intended for Santana Moss,-0.700,-1.960
4,2:24,4,5,NYJ 21,0,6,"Dan Stryzinski punts 34 yards, returned by Antwaan Randle El for no gain",-1.960,-1.930
4,2:13,1,10,PIT 45,0,6,Tommy Maddox pass incomplete intended for Hines Ward (defended by Ray Mickens),1.930,1.380
4,2:06,2,10,PIT 45,0,6,Tommy Maddox pass incomplete intended for Amos Zereoue,1.380,0.700
4,2:03,3,10,PIT 45,0,6,Tommy Maddox pass incomplete intended for Hines Ward,0.700,-0.390
4,1:57,4,10,PIT 45,0,6,Tommy Maddox pass incomplete intended for Plaxico Burress (defended by Ray Mickens),-0.390,-2.590
4,1:52,1,10,PIT 45,0,6,Curtis Martin right tackle for 12 yards (tackle by Brent Alexander),2.590,3.380
4,1:45,1,10,PIT 33,0,6,Chad Pennington kneels for -1 yards,3.380,2.700
4,1:41,,,,0,6,Timeout #3 by Pittsburgh Steelers,0.000,2.700
4,1:41,2,11,PIT 34,0,6,Chad Pennington kneels for -2 yards,2.700,1.750
4,1:00,3,13,PIT 36,0,6,Curtis Martin right tackle for no gain,1.750,0.880
4,1:00,4,13,PIT 36,0,6,"Penalty on Chad Pennington: Delay of Game, 5 yards (no play)",0.880,0.530
4,0:14,4,18,PIT 41,0,6,"Dan Stryzinski punts 37 yards, returned by Antwaan Randle El for 14 yards (tackle by Jamie Henderson)",0.530,1.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
