Quarter,Time,Down,ToGo,Location,SEA,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 55 yards, returned by Isiah Pacheco for 19 yards (tackle by Travis Homer)",0.000,0.870
1,14:55,1,10,KAN 29,0,0,Patrick Mahomes pass complete short left to Noah Gray for 8 yards (tackle by Cody Barton),0.870,1.410
1,14:33,2,2,KAN 37,0,0,Patrick Mahomes pass incomplete deep right intended for Isiah Pacheco,1.410,0.700
1,14:25,3,2,KAN 37,0,0,Patrick Mahomes pass incomplete short right intended for JuJu Smith-Schuster,0.700,-0.910
1,14:23,4,2,KAN 37,0,0,"Tommy Townsend punts 56 yards, fair catch by DeeJay Dallas at SEA-7",-0.910,0.380
1,14:15,1,10,SEA 7,0,0,"Kenneth Walker left end for 3 yards (tackle by Willie Gay and Justin Reid). Penalty on D.K. Metcalf: Offensive Holding, 5 yards (accepted)",-0.380,-0.460
1,13:57,1,12,SEA 5,0,0,Geno Smith pass complete short right to D.K. Metcalf for no gain (tackle by Nick Bolton),-0.460,-0.930
1,13:16,2,12,SEA 5,0,0,Kenneth Walker right end for 2 yards (tackle by Joshua Williams and Willie Gay),-0.930,-1.420
1,12:45,,,,,,Timeout #1 by Kansas City Chiefs,,
1,12:45,3,10,SEA 7,0,0,Geno Smith pass complete short left to D.K. Metcalf for 9 yards (tackle by Nick Bolton),-1.420,-2.390
1,11:52,4,1,SEA 16,0,0,"Michael Dickson punts 56 yards, returned by Kadarius Toney for 9 yards (tackle by Nick Bellore)",-2.390,-1.400
1,11:53,1,10,KAN 37,0,0,Isiah Pacheco up the middle for 7 yards (tackle by Quandre Diggs and Shelby Harris),1.400,1.800
1,11:21,2,3,KAN 44,0,0,Isiah Pacheco left end for 5 yards (tackle by Jordyn Brooks and Coby Bryant),1.800,2.190
1,10:45,1,10,KAN 49,0,0,Isiah Pacheco left end for 5 yards (tackle by Teez Tabor),2.190,2.320
1,10:25,2,5,SEA 46,0,0,"Penalty on Bruce Irvin: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.320,2.850
1,9:50,1,10,SEA 41,0,0,Patrick Mahomes pass complete short left to Jerick McKinnon for 16 yards (tackle by Cody Barton and Tariq Woolen),2.850,3.910
1,9:14,1,10,SEA 25,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Cody Barton),3.910,3.900
1,8:36,2,6,SEA 21,0,0,Patrick Mahomes pass complete short left to Skyy Moore for 5 yards (tackle by Shelby Harris),3.900,4.060
1,7:59,3,1,SEA 16,0,0,Isiah Pacheco left guard for 3 yards (tackle by L.J. Collier and Shelby Harris),4.060,4.710
1,7:22,1,10,SEA 13,0,0,Patrick Mahomes scrambles left end for 5 yards (tackle by Cody Barton),4.710,4.960
1,6:46,2,5,SEA 8,0,6,"Patrick Mahomes pass complete short middle to Kadarius Toney for 8 yards, touchdown",4.960,7.000
1,6:41,,,SEA 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,6:41,,,KAN 35,0,7,"Harrison Butker kicks off 61 yards, returned by Godwin Igwebuike for 48 yards (tackle by Jack Cochrane)",0.000,2.390
1,6:31,1,10,KAN 48,0,7,Kenneth Walker up the middle for 3 yards (tackle by Nick Bolton and Willie Gay),2.390,2.250
1,5:49,2,7,KAN 45,0,7,Kenneth Walker left end for -3 yards (tackle by L'Jarius Sneed and Nick Bolton),2.250,1.160
1,5:03,,,,,,Timeout #1 by Seattle Seahawks,,
1,5:03,3,10,KAN 48,0,7,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by L'Jarius Sneed),1.160,0.530
1,4:16,4,3,KAN 41,0,7,Geno Smith pass incomplete short left intended for Laquon Treadwell (defended by George Karlaftis),0.530,-1.660
1,4:11,1,10,KAN 41,0,7,Isiah Pacheco right end for 8 yards (tackle by Poona Ford),1.660,2.200
1,3:36,2,2,KAN 49,0,7,"Patrick Mahomes pass incomplete short middle intended for Kadarius Toney. Penalty on Jordyn Brooks: Defensive Holding, 5 yards (accepted) (no play)",2.200,2.520
1,3:30,1,10,SEA 46,0,7,Patrick Mahomes pass incomplete deep middle intended for Justin Watson (defended by Tariq Woolen),2.520,1.980
1,3:22,2,10,SEA 46,0,7,Ronald Jones up the middle for 4 yards (tackle by Darrell Taylor and Myles Adams),1.980,1.820
1,2:44,3,6,SEA 42,0,7,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,1.820,0.460
1,2:41,4,6,SEA 42,0,7,Tommy Townsend punts 22 yards out of bounds,0.460,-0.280
