Unnamed: 0,SEA,KAN
First Downs,19,14
Rush-Yds-TDs,31-133-0,22-77-1
Cmp-Att-Yd-TD-INT,25-40-215-1-1,16-28-224-2-0
Sacked-Yards,2-15,1-4
Net Pass Yards,200,220
Total Yards,333,297
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,6-35,5-39
Third Down Conv.,2-14,3-11
Fourth Down Conv.,3-6,0-1
Time of Possession,35:02,24:58
