Unnamed: 0,NOR,TAM
First Downs,27,21
Rush-Yds-TDs,32-212-1,18-42-0
Cmp-Att-Yd-TD-INT,21-32-263-3-1,27-47-236-1-0
Sacked-Yards,0-0,1-1
Net Pass Yards,263,235
Total Yards,475,277
Fumbles-Lost,2-0,3-1
Turnovers,1,1
Penalties-Yards,9-80,5-30
Third Down Conv.,9-12,6-15
Fourth Down Conv.,0-0,2-3
Time of Possession,31:29,28:31
