Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
1,8:03,1,15,MIA 21,3,0,A.J. Feeley pass incomplete intended for Chris Chambers is intercepted by Troy Polamalu at PIT-47 and returned for 10 yards (tackle by John St. Clair). Penalty on A.J. Feeley: Illegal Forward Pass (Declined),0.340,-2.720
1,7:46,1,10,MIA 43,3,0,Duce Staley up the middle for 10 yards (tackle by Morlon Greenwood and Sammy Knight),2.720,3.380
1,7:05,1,10,MIA 33,3,0,Duce Staley left end for no gain (tackle by Jason Taylor),3.380,2.840
1,6:24,2,10,MIA 33,3,0,Duce Staley up the middle for -1 yards (tackle by Bryan Robinson),2.840,2.010
1,5:42,3,11,MIA 34,3,0,Ben Roethlisberger pass incomplete intended for Antwaan Randle El (defended by Sam Madison),2.010,1.060
1,5:32,4,11,MIA 34,3,0,Chris Gardocki punts 29 yards,1.060,0.380
1,5:20,1,10,MIA 5,3,0,Leonard Henry left guard for 7 yards (tackle by Joey Porter),-0.380,-0.270
1,4:48,2,3,MIA 12,3,0,"Leonard Henry up the middle for 1 yard (tackle by Clark Haggans and James Farrior). Penalty on Taylor Whitley: Offensive Holding, 6 yards (no play)",-0.270,-0.710
1,4:33,2,9,MIA 6,3,0,Leonard Henry up the middle for -1 yards (tackle by Casey Hampton),-0.710,-1.420
1,3:53,3,10,MIA 5,3,0,A.J. Feeley pass incomplete intended for Leonard Henry,-1.420,-2.490
1,3:48,4,10,MIA 5,3,0,Matt Turk punts 45 yards,-2.490,-2.260
1,3:36,1,10,MIA 50,3,0,Duce Staley left guard for 4 yards (tackle by Junior Seau and Dario Romero),2.260,2.250
1,2:55,2,6,MIA 46,3,0,Ben Roethlisberger pass complete to Hines Ward for no gain,2.250,1.550
1,2:15,3,6,MIA 46,3,0,Ben Roethlisberger pass complete to Hines Ward for 24 yards (tackle by Antuan Edwards). Penalty on Patrick Surtain: Defensive Holding (Declined),1.550,4.110
1,1:48,1,10,MIA 22,3,0,Duce Staley right guard for -2 yards (tackle by Junior Seau and Dario Romero),4.110,3.290
1,1:10,2,12,MIA 24,3,0,Duce Staley left end for -2 yards (tackle by Morlon Greenwood),3.290,2.350
1,0:57,,,,3,0,Timeout #1 by Miami Dolphins,0.000,2.350
1,0:57,3,14,MIA 26,3,0,Ben Roethlisberger pass incomplete,2.350,1.740
1,0:48,4,14,MIA 26,3,0,Jeff Reed 44 yard field goal no good,1.740,-1.200
1,0:43,1,10,MIA 34,3,0,Lamar Gordon right guard for 7 yards (tackle by Chris Hope),1.200,1.600
1,0:13,2,3,MIA 41,3,0,Leonard Henry up the middle for 6 yards (tackle by Joey Porter and Troy Polamalu),1.600,2.060
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 47,3,0,Leonard Henry right guard for 3 yards (tackle by Joey Porter),2.060,1.920
2,14:29,2,7,MIA 50,3,0,Leonard Henry left tackle for -1 yards (tackle by James Farrior and Clark Haggans),1.920,1.090
2,13:46,3,8,MIA 49,3,0,A.J. Feeley pass incomplete intended for Randy McMichael (defended by Deshea Townsend),1.090,-0.130
2,13:42,4,8,MIA 49,3,0,"Matt Turk punts 51 yards, touchback",-0.130,-0.280
2,13:31,1,10,PIT 20,3,0,"Penalty on Jay Riemersma: False Start, 5 yards (no play)",0.280,-0.310
2,13:31,1,15,PIT 15,3,0,Jerome Bettis left tackle for 3 yards (tackle by Sam Madison and Morlon Greenwood),-0.310,-0.630
2,12:53,2,12,PIT 18,3,0,"Ben Roethlisberger left end for 2 yards (tackle by Morlon Greenwood). Penalty on Hines Ward: Offensive Holding, 10 yards",-0.630,-1.510
2,12:28,2,20,PIT 10,3,0,Verron Haynes left end for 10 yards (tackle by Sammy Knight and Junior Seau),-1.510,-0.960
2,11:40,3,10,PIT 20,3,0,Verron Haynes right guard for 10 yards (tackle by Patrick Surtain),-0.960,0.940
2,10:55,1,10,PIT 30,3,0,Jerome Bettis right guard for 1 yard (tackle by Jeff Zgonina and Jason Taylor),0.940,0.530
2,10:14,2,9,PIT 31,3,0,Jerome Bettis up the middle for -1 yards (tackle by Jay Williams),0.530,-0.300
2,9:32,3,10,PIT 30,3,0,Verron Haynes right tackle for 5 yards (tackle by David Bowens),-0.300,-1.040
2,8:59,4,5,PIT 35,3,0,"Chris Gardocki punts 44 yards, returned by Wes Welker for 10 yards (tackle by Clint Kriewaldt)",-1.040,-1.000
2,8:47,1,10,MIA 31,3,0,Leonard Henry left tackle for 4 yards (tackle by Deshea Townsend and Troy Polamalu),1.000,1.000
2,8:12,2,6,MIA 35,3,0,Leonard Henry up the middle for 5 yards (tackle by Chris Hope),1.000,0.960
2,7:41,3,1,MIA 40,3,0,A.J. Feeley up the middle for 2 yards,0.960,1.730
2,7:02,1,10,MIA 42,3,0,Leonard Henry up the middle for 1 yard (tackle by Troy Polamalu),1.730,1.320
2,6:19,2,9,MIA 43,3,0,A.J. Feeley pass complete to Randy McMichael for 15 yards (tackle by James Farrior),1.320,2.790
2,5:57,1,10,PIT 42,3,0,A.J. Feeley pass incomplete intended for Marty Booker,2.790,2.240
2,5:52,2,10,PIT 42,3,0,Leonard Henry up the middle for -1 yards (tackle by Aaron Smith),2.240,1.420
2,5:14,3,11,PIT 43,3,0,Leonard Henry right guard for -1 yards (tackle by Aaron Smith and James Farrior),1.420,0.330
2,4:44,4,12,PIT 44,3,0,Matt Turk punts 38 yards,0.330,0.380
2,4:31,1,10,PIT 6,3,0,Verron Haynes up the middle for 4 yards (tackle by Jeff Zgonina and Junior Seau),-0.380,-0.490
2,3:54,2,6,PIT 10,3,0,Verron Haynes up the middle for 2 yards (tackle by Antuan Edwards and Zach Thomas),-0.490,-0.720
2,3:16,3,4,PIT 12,3,0,Ben Roethlisberger pass incomplete intended for Verron Haynes (defended by Zach Thomas),-0.720,-2.490
2,3:10,4,4,PIT 12,3,0,"Chris Gardocki punts 54 yards, returned by Wes Welker for 10 yards (tackle by Clint Kriewaldt)",-2.490,-1.860
2,2:55,1,10,MIA 44,3,0,Leonard Henry left guard for -2 yards (tackle by Joey Porter),1.860,1.050
2,2:23,2,12,MIA 42,3,0,"A.J. Feeley sacked for 0 yards. A.J. Feeley fumbles, recovered by A.J. Feeley at MIA-35",1.050,-0.560
2,2:00,3,19,MIA 35,3,0,Leonard Henry up the middle for 5 yards (tackle by Clark Haggans),-0.560,-0.720
2,1:48,,,,3,0,Timeout #1 by Pittsburgh Steelers,0.000,-0.720
2,1:48,4,14,MIA 40,3,0,Matt Turk punts 10 yards. Penalty on Derrick Pope: Ineligible Downfield Kick (Declined),-0.720,-2.260
2,1:38,1,10,MIA 50,3,0,Ben Roethlisberger pass incomplete intended for Plaxico Burress (defended by Antuan Edwards),2.260,1.710
2,1:31,2,10,MIA 50,3,0,Verron Haynes up the middle for 4 yards (tackle by Junior Seau and David Bowens),1.710,1.550
2,0:48,3,6,MIA 46,3,0,Ben Roethlisberger pass complete to Hines Ward for 5 yards (tackle by Patrick Surtain),1.550,0.530
2,0:19,,,,3,0,Timeout #2 by Pittsburgh Steelers,0.000,0.530
2,0:19,4,1,MIA 41,3,0,Ben Roethlisberger pass complete to Hines Ward for 19 yards (tackle by Sam Madison),0.530,4.110
2,0:07,,,,3,0,Timeout #3 by Pittsburgh Steelers,0.000,4.110
2,0:07,1,10,MIA 22,3,0,"Penalty on Matt Cushing: False Start, 5 yards (no play)",4.110,3.780
2,0:07,,,,3,0,Timeout #2 by Miami Dolphins,0.000,3.780
2,0:07,1,15,MIA 27,3,0,Jeff Reed 45 yard field goal no good,3.780,-1.270
2,0:02,1,10,MIA 35,3,0,A.J. Feeley kneels for -1 yards,1.270,0.590
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,3,0,"Olindo Mare kicks off 72 yards, returned by Antwaan Randle El for 33 yards (tackle by Morlon Greenwood)",0.000,1.000
3,14:53,1,10,PIT 31,3,0,Duce Staley for 15 yards,1.000,1.990
3,14:26,1,10,PIT 46,3,0,Duce Staley right tackle for 4 yards (tackle by Zach Thomas and Jeff Zgonina),1.990,1.990
3,13:50,2,6,MIA 50,3,0,Duce Staley right tackle for -3 yards (tackle by Sammy Knight),1.990,0.890
3,13:08,3,9,PIT 47,3,0,Ben Roethlisberger pass incomplete intended for Plaxico Burress,0.890,-0.260
3,13:04,4,9,PIT 47,3,0,Chris Gardocki punts 45 yards,-0.260,0.380
3,12:51,1,10,MIA 8,3,0,Leonard Henry left tackle for 1 yard (tackle by Clark Haggans),-0.380,-0.710
3,12:16,2,9,MIA 9,3,0,A.J. Feeley pass complete to Donald Lee for 6 yards (tackle by Troy Polamalu),-0.710,-0.600
3,11:39,3,3,MIA 15,3,0,"A.J. Feeley pass incomplete intended for Marty Booker. Penalty on Chad Scott: Defensive Pass Interference, 23 yards (no play)",-0.600,1.470
3,11:33,1,10,MIA 38,3,0,Leonard Henry right end for -2 yards (tackle by James Farrior),1.470,0.650
3,10:55,2,12,MIA 36,3,0,A.J. Feeley pass complete to Derrius Thompson for 11 yards (tackle by Deshea Townsend),0.650,1.420
,,,,,,,"PIT challenged the ruling, and the play was upheld.",,
3,10:34,3,1,MIA 47,3,0,Leonard Henry up the middle for no gain,1.420,-0.260
3,10:26,,,,3,0,Timeout #1 by Miami Dolphins,0.000,-0.260
3,10:26,4,1,MIA 47,3,0,A.J. Feeley up the middle for no gain,-0.260,-2.460
3,10:20,1,10,MIA 47,3,0,Duce Staley left tackle for 2 yards (tackle by Junior Seau),2.460,2.180
3,9:46,2,8,MIA 45,3,0,Ben Roethlisberger pass complete to Hines Ward for 11 yards (tackle by Will Poole),2.180,3.310
3,9:07,1,10,MIA 34,3,0,"Ben Roethlisberger pass incomplete. Penalty on Ben Roethlisberger: Intentional Grounding, 10 yards",3.310,1.420
3,9:01,2,20,MIA 44,3,0,Antwaan Randle El right end for 4 yards (tackle by Will Poole),1.420,1.290
3,8:31,3,16,MIA 40,3,0,Ben Roethlisberger pass complete to Hines Ward for 7 yards (tackle by Jimmy Wyrick),1.290,1.150
3,8:08,4,9,MIA 33,6,0,Jeff Reed 51 yard field goal good,1.150,3.000
3,,,,PIT 30,6,0,Jeff Reed kicks off 52 yards,0.000,1.600
3,8:02,1,10,MIA 40,6,0,Leonard Henry right guard for no gain (tackle by Troy Polamalu and Casey Hampton),1.600,1.050
3,7:23,2,10,MIA 40,6,0,A.J. Feeley pass incomplete intended for Marty Booker (defended by Joey Porter),1.050,0.370
3,7:18,3,10,MIA 40,6,0,A.J. Feeley pass complete to Randy McMichael for no gain,0.370,-0.720
3,6:42,4,10,MIA 40,6,0,"Matt Turk punts 45 yards, returned by Antwaan Randle El for 1 yard (tackle by Derrick Pope)",-0.720,0.140
3,6:30,1,10,PIT 16,6,0,Duce Staley right tackle for 2 yards (tackle by Zach Thomas),-0.140,-0.350
3,5:47,2,8,PIT 18,6,0,"Penalty on Plaxico Burress: False Start, 5 yards (no play)",-0.350,-0.990
3,5:26,2,13,PIT 13,6,0,Duce Staley left end for 1 yard (tackle by Jason Taylor),-0.990,-1.610
3,4:39,3,12,PIT 14,6,0,Verron Haynes left end for -1 yards (tackle by Jason Taylor and Jay Williams),-1.610,-2.490
3,4:05,4,13,PIT 13,6,0,Chris Gardocki punts 47 yards,-2.490,-1.600
3,3:55,1,10,MIA 40,6,0,A.J. Feeley pass complete to Chris Chambers for 9 yards (tackle by Chad Scott),1.600,2.270
3,3:20,2,1,MIA 49,6,0,Leonard Henry up the middle for 1 yard (tackle by Larry Foote and Travis Kirschke),2.270,2.260
3,2:40,1,10,MIA 50,6,0,A.J. Feeley pass complete to Randy McMichael for 10 yards (tackle by Chad Scott),2.260,2.920
3,2:14,1,10,PIT 40,6,0,Leonard Henry left guard for 3 yards (tackle by Travis Kirschke),2.920,2.780
3,1:34,2,7,PIT 37,6,0,A.J. Feeley pass incomplete intended for Chris Chambers,2.780,2.080
3,1:26,3,7,PIT 37,6,0,Leonard Henry right tackle for 12 yards (tackle by Troy Polamalu and Russell Stuvaints),2.080,3.910
3,0:45,1,10,PIT 25,6,0,Leonard Henry left guard for 3 yards (tackle by James Farrior and Larry Foote),3.910,3.770
Quarter,Time,Down,ToGo,Location,PIT,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,PIT 22,6,0,A.J. Feeley pass incomplete intended for Chris Chambers,3.770,3.070
4,14:55,3,7,PIT 22,6,0,A.J. Feeley pass complete to Marty Booker for 8 yards (tackle by Chad Scott),3.070,4.650
4,14:18,1,10,PIT 14,6,0,Leonard Henry up the middle for -2 yards (tackle by Aaron Smith),4.650,3.720
4,13:40,2,12,PIT 16,6,0,A.J. Feeley pass incomplete intended for Randy McMichael,3.720,3.000
4,13:35,3,12,PIT 16,6,0,A.J. Feeley pass incomplete intended for Marty Booker,3.000,2.380
4,13:30,4,12,PIT 16,6,3,Olindo Mare 34 yard field goal good,2.380,3.000
4,,,,MIA 30,6,3,"Olindo Mare kicks off 74 yards, returned by Antwaan Randle El for 41 yards (tackle by Olindo Mare)",0.000,1.400
4,13:15,1,10,PIT 37,6,3,Ben Roethlisberger pass incomplete intended for Plaxico Burress,1.400,0.860
4,13:08,2,10,PIT 37,6,3,Duce Staley up the middle for 7 yards (tackle by Zach Thomas and Junior Seau),0.860,1.090
4,12:31,3,3,PIT 44,6,3,Ben Roethlisberger sacked by Jeff Zgonina for -2 yards,1.090,-0.590
4,11:56,4,5,PIT 42,6,3,"Chris Gardocki punts 50 yards, returned by Wes Welker for 8 yards (tackle by Mike Schneck). Penalty on Sean Morey: Illegal Formation, 5 yards (no play)",-0.590,-0.910
4,11:43,4,10,PIT 37,6,3,Chris Gardocki punts 58 yards,-0.910,0.380
4,11:30,1,10,MIA 6,6,3,A.J. Feeley pass incomplete intended for Doug Easlick,-0.380,-0.780
4,11:24,2,10,MIA 6,6,3,"A.J. Feeley for no gain. A.J. Feeley fumbles, recovered by Seth McKinney at MIA-6",-0.780,-1.420
4,10:40,3,10,MIA 6,6,3,A.J. Feeley pass incomplete intended for Randy McMichael (defended by James Farrior),-1.420,-2.490
4,10:34,4,10,MIA 6,6,3,"Matt Turk punts 40 yards, returned by Antwaan Randle El for 10 yards (tackle by Eddie Moore). Penalty on Russell Stuvaints: Unnecessary Roughness, 15 yards",-2.490,-1.530
4,10:24,1,10,PIT 39,6,3,Ben Roethlisberger pass complete to Hines Ward for 3 yards (tackle by Zach Thomas),1.530,1.390
4,9:42,2,7,PIT 42,6,3,"Duce Staley right end for 1 yard (tackle by Jason Taylor). Penalty on Duce Staley: Illegal Shift, 5 yards (no play)",1.390,0.720
4,9:21,2,12,PIT 37,6,3,Ben Roethlisberger pass incomplete intended for Antwaan Randle El,0.720,0.040
4,9:16,3,12,PIT 37,6,3,Ben Roethlisberger pass complete to Plaxico Burress for 18 yards (tackle by Zach Thomas),0.040,2.590
4,8:35,1,10,MIA 45,6,3,Duce Staley left guard for -1 yards (tackle by Dario Romero),2.590,1.910
4,7:58,2,11,MIA 46,6,3,Duce Staley left end for 7 yards (tackle by Zach Thomas),1.910,2.150
4,7:17,3,4,MIA 39,6,3,Ben Roethlisberger pass complete to Hines Ward for 20 yards (tackle by Sammy Knight),2.150,4.310
4,6:31,1,10,MIA 19,6,3,"Ben Roethlisberger pass incomplete intended for Hines Ward. Penalty on Sam Madison: Defensive Holding, 5 yards (no play)",4.310,4.650
4,6:25,1,10,MIA 14,6,3,"Penalty on Sam Madison: Unsportsmanlike Conduct, 7 yards (no play)",4.650,5.600
4,6:25,1,7,MIA 7,12,3,"Ben Roethlisberger pass complete to Hines Ward for 7 yards, touchdown",5.600,7.000
,,,,,,,"MIA challenged the ruling, and the play was upheld.",,
4,,,,MIA 2,13,3,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,13,3,"Jeff Reed kicks off 59 yards, returned by Wes Welker for 19 yards (tackle by Clint Kriewaldt). Wes Welker fumbles (forced by Clint Kriewaldt), recovered by Taylor Whitley at MIA-29",0.000,0.870
4,6:03,,,,13,3,Timeout #2 by Pittsburgh Steelers,0.000,0.870
4,6:03,1,10,MIA 29,13,3,A.J. Feeley sacked by Deshea Townsend for -6 yards,0.870,-0.480
4,5:43,2,16,MIA 23,13,3,"Penalty on Damion McIntosh: False Start, 5 yards (no play)",-0.480,-1.260
4,5:24,2,21,MIA 18,13,3,A.J. Feeley pass complete to Derrius Thompson for 36 yards (tackle by Ricardo Colclough),-1.260,2.520
4,4:57,1,10,PIT 46,13,3,A.J. Feeley pass complete to Chris Chambers for 6 yards (tackle by Chad Scott),2.520,2.790
4,4:33,2,4,PIT 40,13,3,A.J. Feeley pass complete to Randy McMichael for 11 yards (tackle by Chris Hope),2.790,3.640
4,4:10,1,10,PIT 29,13,3,"A.J. Feeley sacked by Joey Porter for -10 yards. A.J. Feeley fumbles (forced by Joey Porter), recovered by James Farrior at PIT-36",3.640,-1.330
,,,,,,,"MIA challenged the ruling, and the play was upheld.",,
4,4:01,1,10,PIT 36,13,3,Duce Staley right tackle for no gain (tackle by Morlon Greenwood and David Bowens),1.330,0.790
4,3:22,2,10,PIT 36,13,3,Duce Staley left tackle for 38 yards (tackle by Antuan Edwards),0.790,3.840
4,3:11,1,10,MIA 26,13,3,Duce Staley left tackle for 11 yards (tackle by Junior Seau),3.840,4.580
4,2:28,1,10,MIA 15,13,3,"Penalty on Jerame Tuman: False Start, 5 yards (no play)",4.580,4.240
4,2:26,1,15,MIA 20,13,3,Jerome Bettis right guard for 2 yards (tackle by Junior Seau and Zach Thomas),4.240,3.560
4,2:00,2,13,MIA 18,13,3,Jerome Bettis right guard for 2 yards (tackle by Zach Thomas and Sammy Knight),3.560,3.040
4,1:18,3,11,MIA 16,13,3,Jerome Bettis up the middle for 4 yards (tackle by Zach Thomas),3.040,2.630
4,0:34,4,7,MIA 12,13,3,Jerome Bettis right tackle for 1 yard (tackle by Zach Thomas and Morlon Greenwood),2.630,0.370
4,0:28,1,10,MIA 11,13,3,A.J. Feeley pass complete to Randy McMichael for 15 yards (tackle by Russell Stuvaints),-0.370,0.670
4,0:08,1,10,MIA 26,13,3,A.J. Feeley pass incomplete intended for Leonard Henry,0.670,0.130
4,0:03,2,10,MIA 26,13,3,A.J. Feeley pass incomplete intended for Leonard Henry,0.130,-0.560
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
