Unnamed: 0,PIT,MIA
First Downs,15,13
Rush-Yds-TDs,38-153-0,29-52-0
Cmp-Att-Yd-TD-INT,12-22-163-1-1,13-27-137-0-2
Sacked-Yards,1-2,3-20
Net Pass Yards,161,117
Total Yards,314,169
Fumbles-Lost,0-0,5-2
Turnovers,1,4
Penalties-Yards,11-103,6-33
Third Down Conv.,5-16,3-11
Fourth Down Conv.,1-2,0-1
Time of Possession,34:11,25:49
