Quarter,Time,Tm,Detail,NWE,MIA
1.0,9:51,Patriots,Donte' Stallworth 30 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,4:28,Patriots,Kyle Brady 2 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2.0,14:57,Dolphins,Cleo Lemon 4 yard rush (Jay Feely kick),14,7
,14:45,Patriots,Willie Andrews 77 yard kickoff return (Stephen Gostkowski kick),21,7
,10:44,Patriots,Randy Moss 35 yard pass from Tom Brady (Stephen Gostkowski kick),28,7
,6:47,Patriots,Randy Moss 50 yard pass from Tom Brady (Stephen Gostkowski kick),35,7
,0:25,Patriots,Wes Welker 14 yard pass from Tom Brady (Stephen Gostkowski kick),42,7
4.0,11:35,Dolphins,Patrick Cobbs 1 yard rush (Jay Feely kick),42,14
,10:30,Dolphins,Jason Taylor 36 yard interception return (Jay Feely kick),42,21
,8:11,Patriots,Wes Welker 16 yard pass from Tom Brady (Stephen Gostkowski kick),49,21
,3:45,Dolphins,Jesse Chatman 7 yard rush (Jay Feely kick),49,28
