Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Jay Feely kicks off 78 yards, touchback",0.000,0.280
1,15:00,1,10,NWE 20,0,0,Tom Brady pass complete short right to Wes Welker for 9 yards (tackle by Renaldo Hill),0.280,0.950
1,14:30,2,1,NWE 29,0,0,Laurence Maroney right end for 8 yards (tackle by Michael Lehan),0.950,1.400
1,13:53,1,10,NWE 37,0,0,Laurence Maroney right tackle for 2 yards (tackle by Rodrique Wright),1.400,1.130
1,13:12,2,8,NWE 39,0,0,Tom Brady pass complete short right to Kyle Brady for 3 yards (tackle by Cameron Worrell),1.130,0.830
1,12:27,3,5,NWE 42,0,0,Tom Brady pass complete short right to Jabar Gaffney for 12 yards (tackle by Renaldo Hill),0.830,2.520
1,11:52,1,10,MIA 46,0,0,Laurence Maroney right end for 6 yards (tackle by Michael Lehan and Zach Thomas),2.520,2.790
1,11:15,2,4,MIA 40,0,0,Kevin Faulk right tackle for 8 yards (tackle by Zach Thomas and Cameron Worrell),2.790,3.450
1,10:38,1,10,MIA 32,0,0,Laurence Maroney right guard for 2 yards (tackle by Renaldo Hill),3.450,3.170
1,10:01,2,8,MIA 30,6,0,"Tom Brady pass complete short middle to Donte Stallworth for 30 yards, touchdown",3.170,7.000
1,,,,MIA 2,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,0,"Stephen Gostkowski kicks off 67 yards, returned by Ted Ginn Jr. for 23 yards (tackle by Brandon Meriweather)",0.000,0.670
1,9:45,1,10,MIA 26,7,0,Ronnie Brown up the middle for 2 yards (tackle by Tedy Bruschi),0.670,0.400
1,9:12,2,8,MIA 28,7,0,Ronnie Brown up the middle for 8 yards (tackle by Tedy Bruschi and Rodney Harrison),0.400,1.330
1,8:36,1,10,MIA 36,7,0,Ronnie Brown left guard for 6 yards (tackle by Rodney Harrison),1.330,1.600
1,8:03,2,4,MIA 42,7,0,Ronnie Brown right end for -3 yards (tackle by Rosevelt Colvin),1.600,0.500
1,7:18,3,7,MIA 39,7,0,"Cleo Lemon sacked by Mike Vrabel for -11 yards. Cleo Lemon fumbles (forced by Mike Vrabel), recovered by Ty Warren at MIA-28",0.500,-3.710
1,7:11,1,10,MIA 28,7,0,Kevin Faulk right guard for 2 yards (tackle by Joey Porter),3.710,3.440
1,6:36,,,,7,0,Timeout #1 by Miami Dolphins,0.000,3.440
1,6:36,2,8,MIA 26,7,0,Tom Brady pass complete short left to Wes Welker for 9 yards (tackle by Zach Thomas),3.440,4.440
1,6:15,1,10,MIA 17,7,0,Heath Evans left guard for 7 yards (tackle by Cameron Worrell and Matt Roth),4.440,5.100
1,5:44,2,3,MIA 10,7,0,Heath Evans up the middle for 3 yards (tackle by Keith Traylor),5.100,5.600
1,5:03,1,7,MIA 7,7,0,Tom Brady pass complete short left to Kyle Brady for 5 yards (tackle by Joey Porter),5.600,5.720
1,4:33,2,2,MIA 2,13,0,"Tom Brady pass complete short right to Kyle Brady for 2 yards, touchdown",5.720,7.000
1,,,,MIA 2,14,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,14,0,"Stephen Gostkowski kicks off 63 yards, returned by Ted Ginn Jr. for 14 yards (tackle by Rashad Baker)",0.000,0.340
1,4:24,1,10,MIA 21,14,0,Cleo Lemon pass complete short right to Ronnie Brown for 12 yards (tackle by Adalius Thomas),0.340,1.140
1,3:49,1,10,MIA 33,14,0,Cleo Lemon pass complete short left to Ted Ginn Jr. for 11 yards (tackle by Ellis Hobbs),1.140,1.860
1,3:06,1,10,MIA 44,14,0,Cleo Lemon pass complete short right to David Martin for 2 yards (tackle by Rodney Harrison),1.860,1.590
1,2:27,2,8,MIA 46,14,0,Ronnie Brown left guard for 2 yards (tackle by Adalius Thomas),1.590,1.160
1,1:48,,,,14,0,Timeout #1 by New England Patriots,0.000,1.160
1,1:48,3,6,MIA 48,14,0,Cleo Lemon pass complete short right to Ronnie Brown for 5 yards (tackle by Mike Vrabel),1.160,0.130
1,1:11,4,1,NWE 47,14,0,Ronnie Brown up the middle for 19 yards (tackle by Eugene Wilson),0.130,3.710
1,0:29,1,10,NWE 28,14,0,Cleo Lemon pass complete deep left to Marty Booker for 19 yards,3.710,5.140
1,0:05,1,9,NWE 9,14,0,Ronnie Brown left tackle for 5 yards (tackle by Jarvis Green),5.140,5.340
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,NWE 4,14,6,"Cleo Lemon up the middle for 4 yards, touchdown",5.340,7.000
2,,,,NWE 2,14,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,MIA 30,20,7,"Jay Feely kicks off 47 yards, returned by Willie Andrews for 77 yards, touchdown",0.000,7.000
2,,,,MIA 2,21,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,21,7,"Stephen Gostkowski kicks off 76 yards, touchback",0.000,0.280
2,14:45,1,10,MIA 20,21,7,"Ronnie Brown left end for 11 yards (tackle by Randall Gay). Penalty on L.J. Shelton: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,14:20,1,20,MIA 10,21,7,Ronnie Brown left end for no gain (tackle by Mike Vrabel),-0.760,-1.510
2,13:39,2,20,MIA 10,21,7,Ronnie Brown left guard for 4 yards (tackle by Tedy Bruschi),-1.510,-2.030
2,12:59,3,16,MIA 14,21,7,Cleo Lemon pass complete short right to David Martin for 9 yards (tackle by Rodney Harrison),-2.030,-1.830
2,12:21,4,7,MIA 23,21,7,"Brandon Fields punts 49 yards, returned by Wes Welker for no gain. Penalty on Larry Izzo: Offensive Holding, 10 yards",-1.830,-0.040
2,12:07,1,10,NWE 18,21,7,Laurence Maroney up the middle for 11 yards (tackle by Renaldo Hill),0.040,0.870
2,11:28,1,10,NWE 29,21,7,Tom Brady pass complete deep left to Wes Welker for 36 yards (tackle by Renaldo Hill),0.870,3.250
2,10:52,,,,21,7,Timeout #2 by New England Patriots,0.000,3.250
2,10:52,1,10,MIA 35,27,7,"Tom Brady pass complete deep right to Randy Moss for 35 yards, touchdown",3.250,7.000
2,,,,MIA 2,28,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,28,7,"Stephen Gostkowski kicks off 79 yards, touchback",0.000,0.280
2,10:44,1,10,MIA 20,28,7,Cleo Lemon pass complete short middle to David Martin for 11 yards (tackle by Adalius Thomas),0.280,1.000
2,10:09,1,10,MIA 31,28,7,Cleo Lemon pass incomplete deep right intended for Marty Booker (defended by Asante Samuel),1.000,0.460
2,10:04,2,10,MIA 31,28,7,Cleo Lemon pass incomplete deep middle intended for Ted Ginn Jr.,0.460,-0.230
2,9:56,3,10,MIA 31,28,7,Cleo Lemon pass incomplete short middle intended for Marty Booker (defended by Asante Samuel),-0.230,-1.310
2,9:51,4,10,MIA 31,28,7,"Brandon Fields punts 43 yards, returned by Wes Welker for 1 yard (tackle by Greg Camarillo)",-1.310,-0.740
2,9:41,1,10,NWE 27,28,7,Kevin Faulk up the middle for 2 yards (tackle by Zach Thomas),0.740,0.470
2,9:02,2,8,NWE 29,28,7,Tom Brady pass complete short right to Heath Evans for 29 yards (tackle by Cameron Worrell),0.470,2.790
2,8:19,1,10,MIA 42,28,7,Kevin Faulk up the middle for 2 yards (tackle by Keith Traylor),2.790,2.510
2,7:38,,,,28,7,Timeout #2 by Miami Dolphins,0.000,2.510
2,7:38,2,8,MIA 40,28,7,Tom Brady sacked by Joey Porter for -10 yards,2.510,0.500
2,6:57,3,18,NWE 50,34,7,"Tom Brady pass complete deep right to Randy Moss for 50 yards, touchdown",0.500,7.000
2,,,,MIA 2,35,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,35,7,"Stephen Gostkowski kicks off 74 yards, returned by Ted Ginn Jr. for 22 yards (tackle by Pierre Woods)",0.000,0.040
2,6:42,1,10,MIA 18,35,7,Cleo Lemon pass incomplete short right intended for Ronnie Brown,0.040,-0.490
2,6:37,2,10,MIA 18,35,7,Cleo Lemon pass incomplete deep left intended for Marty Booker,-0.490,-1.170
2,6:33,3,10,MIA 18,35,7,Cleo Lemon pass incomplete short right intended for Ted Ginn Jr.,-1.170,-2.240
2,6:26,4,10,MIA 18,35,7,"Brandon Fields punts 51 yards, returned by Wes Welker for 8 yards (tackle by Donnie Spragan)",-2.240,-1.530
2,6:13,1,10,NWE 39,35,7,Laurence Maroney up the middle for 2 yards (tackle by Keith Traylor),1.530,1.260
2,5:32,2,8,NWE 41,35,7,Tom Brady pass incomplete short right intended for Donte Stallworth,1.260,0.560
2,5:23,3,8,NWE 41,35,7,Tom Brady pass incomplete deep right intended for Donte Stallworth (defended by Andre' Goodman),0.560,-0.650
2,5:17,4,8,NWE 41,35,7,Chris Hanson punts 58 yards,-0.650,0.380
2,5:05,1,10,MIA 1,35,7,Cleo Lemon pass complete short left to Marty Booker for 4 yards (tackle by Ellis Hobbs),-0.380,-0.490
2,4:30,2,6,MIA 5,35,7,Ronnie Brown up the middle for 7 yards (tackle by Tedy Bruschi),-0.490,-0.350
2,3:46,1,10,MIA 12,35,7,Ronnie Brown right guard for 3 yards (tackle by Tedy Bruschi),-0.350,-0.500
2,3:06,2,7,MIA 15,35,7,"Cleo Lemon pass complete short right to Derek Hagan for 6 yards (tackle by Adalius Thomas). Penalty on Rex Hadnot: Offensive Holding, 7 yards (no play)",-0.500,-1.070
