Unnamed: 0,NWE,GNB
First Downs,17,24
Rush-Yds-TDs,33-167-1,35-199-1
Cmp-Att-Yd-TD-INT,15-21-136-1-0,21-35-251-2-1
Sacked-Yards,4-32,1-7
Net Pass Yards,104,244
Total Yards,271,443
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,7-75,4-40
Third Down Conv.,3-11,6-14
Fourth Down Conv.,0-0,1-1
Time of Possession,33:11,36:49
