Unnamed: 0,SFO,OAK
First Downs,18,19
Rush-Yds-TDs,18-97-0,31-85-0
Cmp-Att-Yd-TD-INT,18-33-174-1-2,22-28-254-3-0
Sacked-Yards,5-23,1-9
Net Pass Yards,151,245
Total Yards,248,330
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,7-50,10-84
Third Down Conv.,3-11,6-13
Fourth Down Conv.,1-1,0-1
Time of Possession,27:05,32:55
