Quarter,Time,Tm,Detail,SFO,OAK
1.0,11:46,Raiders,Sebastian Janikowski 57 yard field goal,0,3
,1:54,49ers,Bruce Miller 8 yard pass from Colin Kaepernick (Phil Dawson kick),7,3
2.0,10:45,Raiders,Donald Penn 3 yard pass from Derek Carr (Sebastian Janikowski kick),7,10
,0:01,49ers,Phil Dawson 52 yard field goal,10,10
3.0,8:34,49ers,Phil Dawson 20 yard field goal,13,10
,4:09,Raiders,Marcel Reece 9 yard pass from Derek Carr (Sebastian Janikowski kick),13,17
4.0,10:39,Raiders,Mychal Rivera 5 yard pass from Derek Carr (Sebastian Janikowski kick),13,24
