#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:52,DET 30,8,4:10,41,Downs
2,1,5:46,DET 25,4,1:37,14,Punt
3,1,1:00,DET 25,3,1:11,2,Punt
4,2,14:07,SEA 45,5,2:59,45,Touchdown
5,2,5:59,DET 25,3,0:25,0,Punt
6,2,0:21,DET 25,4,0:21,38,Missed FG
7,3,15:00,DET 25,1,0:08,0,Interception
8,3,14:12,DET 27,8,3:58,73,Touchdown
9,3,10:14,DET 44,10,5:24,56,Touchdown
10,4,12:36,DET 25,11,5:32,75,Touchdown
11,4,5:29,DET 25,2,0:32,4,Interception
12,4,4:33,DET 25,1,0:10,0,Interception
