Unnamed: 0,DET,SEA
First Downs,20,29
Rush-Yds-TDs,22-95-2,41-265-2
Cmp-Att-Yd-TD-INT,22-37-262-2-3,20-29-236-4-0
Sacked-Yards,0-0,1-4
Net Pass Yards,262,232
Total Yards,357,497
Fumbles-Lost,1-0,1-0
Turnovers,3,0
Penalties-Yards,4-30,5-31
Third Down Conv.,5-10,7-12
Fourth Down Conv.,1-2,1-1
Time of Possession,26:27,33:33
