Quarter,Time,Tm,Detail,DET,SEA
1.0,5:46,Seahawks,Rashaad Penny 15 yard rush (Jason Myers kick),0,7
,1:00,Seahawks,Jason Myers 51 yard field goal,0,10
2.0,14:07,Seahawks,Rashaad Penny 6 yard rush (Jason Myers kick),0,17
,11:08,Lions,Amon-Ra St. Brown 26 yard rush (Riley Patterson kick),7,17
,5:59,Seahawks,D.K. Metcalf 13 yard pass from Russell Wilson (Jason Myers kick),7,24
,0:21,Seahawks,Tyler Lockett 1 yard pass from Russell Wilson (Jason Myers kick),7,31
3.0,14:12,Seahawks,D.K. Metcalf 13 yard pass from Russell Wilson (Jason Myers kick),7,38
,10:14,Lions,Amon-Ra St. Brown 7 yard pass from Tim Boyle (Amon-Ra St. Brown pass from Tim Boyle),15,38
,4:50,Lions,Taylor Decker 6 yard pass from Tim Boyle (Riley Patterson kick),22,38
4.0,12:36,Seahawks,D.K. Metcalf 1 yard pass from Russell Wilson (Jason Myers kick),22,45
,7:04,Lions,Jamaal Williams 1 yard rush (Riley Patterson kick),29,45
,5:29,Seahawks,Jason Myers 36 yard field goal,29,48
,4:33,Seahawks,Jason Myers 42 yard field goal,29,51
