Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
2,12:27,4,15,NYG 15,6,0,Adam Vinatieri 32 yard field goal good,2.440,3.000
2,,,,IND 30,6,0,"Adam Vinatieri kicks off 71 yards, returned by Chad Morton for 21 yards (tackle by Rob Morris)",0.000,0.280
2,12:17,1,10,NYG 20,6,0,"Brandon Jacobs left tackle for 11 yards (tackle by Antoine Bethea). Penalty on Plaxico Burress: Illegal Block Above the , 10 yards",0.280,0.420
2,11:53,1,9,NYG 21,6,0,Eli Manning pass incomplete short middle intended for Brandon Jacobs,0.420,-0.130
2,11:44,2,9,NYG 21,6,0,Tiki Barber left tackle for 1 yard (tackle by Montae Reagor and Marlin Jackson),-0.130,-0.690
2,11:11,3,8,NYG 22,6,0,Eli Manning pass complete short middle to Tiki Barber for 13 yards (tackle by Marlin Jackson),-0.690,1.270
2,10:35,1,10,NYG 35,6,0,"Tiki Barber right end for 3 yards (tackle by Bob Sanders and Gilbert Gardner). Penalty on Plaxico Burress: Illegal Crackback, 15 yards",1.270,0.480
2,10:12,1,22,NYG 23,6,0,Brandon Jacobs left tackle for 11 yards (tackle by Raheem Brock and Nick Harper),0.480,0.590
2,9:37,2,11,NYG 34,6,0,Tiki Barber right tackle for 3 yards (tackle by Cato June and Bob Sanders),0.590,0.300
2,8:54,3,8,NYG 37,6,0,Eli Manning pass complete deep middle to Plaxico Burress for 37 yards (tackle by Bob Sanders),0.300,3.840
2,8:05,1,10,IND 26,6,0,Eli Manning pass incomplete deep left intended for Jeremy Shockey,3.840,3.300
2,7:55,2,10,IND 26,6,0,Eli Manning pass incomplete short right intended for Amani Toomer,3.300,2.610
2,7:52,3,10,IND 26,6,0,Eli Manning pass complete short right to Amani Toomer for 4 yards (tackle by Nick Harper),2.610,2.020
2,7:19,4,6,IND 22,6,0,Jay Feely 40 yard field goal no good,2.020,-0.940
2,7:12,1,10,IND 30,6,0,Peyton Manning pass complete short middle to Dominic Rhodes for -3 yards (tackle by Fred Robbins),0.940,-0.010
2,6:37,2,13,IND 27,6,0,Peyton Manning pass complete short right to Ben Utecht for 8 yards (tackle by Antonio Pierce),-0.010,0.370
2,5:51,3,5,IND 35,6,0,Peyton Manning pass complete short middle to Marvin Harrison for 14 yards (tackle by Will Demps),0.370,2.190
2,5:15,1,10,IND 49,6,0,Peyton Manning pass complete deep middle to Reggie Wayne for 34 yards (tackle by Sam Madison),2.190,4.440
2,4:34,1,10,NYG 17,6,0,Peyton Manning pass incomplete short right intended for Marvin Harrison (defended by Antonio Pierce),4.440,3.850
2,4:24,2,10,NYG 17,6,0,Joseph Addai left end for 7 yards (tackle by Sam Madison),3.850,4.340
2,3:57,3,3,NYG 10,6,0,Peyton Manning pass complete short middle to Reggie Wayne for 8 yards (tackle by LaVar Arrington),4.340,6.740
2,3:29,1,2,NYG 2,6,0,Peyton Manning pass incomplete short middle intended for Charlie Johnson,6.740,5.720
2,3:15,2,2,NYG 2,6,0,Joseph Addai right guard for no gain (tackle by Gibril Wilson and Carlos Emmons),5.720,4.950
2,2:43,3,2,NYG 2,12,0,"Peyton Manning pass complete short right to Dallas Clark for 2 yards, touchdown",4.950,7.000
2,,,,NYG 2,13,0,Adam Vinatieri kicks extra point good,0.000,0.000
2,,,,IND 30,13,0,"Adam Vinatieri kicks off 63 yards, returned by Chad Morton for 7 yards (tackle by Darrell Reid)",0.000,-0.280
2,2:18,1,10,NYG 14,13,0,Eli Manning pass complete short left to Tiki Barber for 17 yards (tackle by Antoine Bethea and Cato June),-0.280,1.000
2,2:00,1,10,NYG 31,13,0,Tiki Barber left guard for 11 yards (tackle by Marlin Jackson),1.000,1.730
2,1:38,1,10,NYG 42,13,0,Eli Manning pass incomplete intended for Plaxico Burress,1.730,1.190
2,1:35,2,10,NYG 42,13,0,Tiki Barber left guard for 11 yards (tackle by Antoine Bethea),1.190,2.460
2,1:27,,,,13,0,Timeout #1 by New York Giants,0.000,2.460
2,1:27,1,10,IND 47,13,0,Eli Manning pass complete short middle to Amani Toomer for 6 yards (tackle by Marlin Jackson),2.460,2.720
2,1:08,2,4,IND 41,13,0,Eli Manning pass complete short left to Tiki Barber for 7 yards (tackle by Jason David),2.720,3.310
2,0:47,1,10,IND 34,13,0,Tiki Barber middle for no gain (tackle by Gary Brackett),3.310,2.770
2,0:40,,,,13,0,Timeout #2 by New York Giants,0.000,2.770
2,0:40,2,10,IND 34,13,6,"Eli Manning pass complete deep right to Plaxico Burress for 34 yards, touchdown",2.770,7.000
2,,,,IND 2,13,7,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYG 30,13,7,"Jay Feely kicks off 62 yards, returned by Terrence Wilkins for 30 yards (tackle by R.W. McQuarters)",0.000,1.470
2,0:25,1,10,IND 38,13,7,Peyton Manning pass complete deep right to Marvin Harrison for 16 yards,1.470,2.520
2,0:20,1,10,NYG 46,13,7,Peyton Manning pass complete short middle to Marvin Harrison for 5 yards (tackle by Corey Webster),2.520,2.650
2,0:15,,,,13,7,Timeout #1 by Indianapolis Colts,0.000,2.650
2,0:15,2,5,NYG 41,13,7,Peyton Manning pass complete short middle to Marvin Harrison for 9 yards (tackle by Gibril Wilson and Antonio Pierce),2.650,3.450
2,0:10,,,,13,7,Timeout #2 by Indianapolis Colts,0.000,3.450
2,0:10,1,10,NYG 32,13,7,Dominic Rhodes right tackle for 1 yard (tackle by William Joseph),3.450,3.040
2,0:05,,,,13,7,Timeout #3 by Indianapolis Colts,0.000,3.040
2,0:05,2,9,NYG 31,16,7,Adam Vinatieri 48 yard field goal good,3.040,3.000
Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 30,16,7,"Adam Vinatieri kicks off 68 yards, returned by Chad Morton for 29 yards (tackle by Rob Morris)",0.000,1.000
3,14:54,1,10,NYG 31,16,7,Tiki Barber right guard for 7 yards (tackle by Gilbert Gardner),1.000,1.410
3,14:26,2,3,NYG 38,16,7,Tiki Barber right guard for 11 yards (tackle by Bob Sanders),1.410,2.190
3,13:51,1,10,NYG 49,16,7,Tiki Barber middle for 3 yards (tackle by Gary Brackett),2.190,2.050
3,13:14,2,7,IND 48,16,7,Eli Manning pass complete short left to Amani Toomer for 9 yards (tackle by Jason David),2.050,2.980
3,12:12,1,10,IND 39,16,7,"Penalty on Jim Finn: False Start, 5 yards (no play)",2.980,2.650
3,12:05,1,15,IND 44,16,7,Brandon Jacobs right tackle for 8 yards (tackle by Cato June and Gary Brackett),2.650,2.850
3,11:22,2,7,IND 36,16,7,"Penalty on Eli Manning: Delay of Game, 5 yards (no play)",2.850,2.170
3,11:00,2,12,IND 41,16,7,Eli Manning pass complete short middle to Tiki Barber for 13 yards (tackle by Marlin Jackson),2.170,3.710
3,10:20,1,10,IND 28,16,7,Brandon Jacobs left guard for 3 yards (tackle by Bob Sanders),3.710,3.570
3,9:49,2,7,IND 25,16,7,Brandon Jacobs left tackle for 7 yards (tackle by Bob Sanders),3.570,4.370
3,9:09,1,10,IND 18,16,7,Tiki Barber right tackle for 1 yard (tackle by Gary Brackett and Dwight Freeney),4.370,3.940
3,8:31,2,9,IND 17,16,7,"Penalty on Amani Toomer: False Start, 5 yards (no play)",3.940,3.290
3,8:02,2,14,IND 22,16,7,Eli Manning pass complete short middle to Jeremy Shockey for 7 yards (tackle by Cato June),3.290,3.460
3,7:20,3,7,IND 15,16,13,"Eli Manning pass complete short right to Jeremy Shockey for 15 yards, touchdown",3.460,7.000
3,,,,IND 2,16,14,Jay Feely kicks extra point good,0.000,0.000
3,,,,NYG 30,16,14,"Jay Feely kicks off 67 yards, returned by Terrence Wilkins for 24 yards (tackle by Gerris Wilkinson)",0.000,0.740
3,7:04,1,10,IND 27,16,14,Dominic Rhodes right tackle for 3 yards (tackle by Carlos Emmons and Michael Strahan),0.740,0.600
3,6:34,2,7,IND 30,16,14,Peyton Manning pass incomplete short left intended for Reggie Wayne,0.600,-0.100
3,6:21,3,7,IND 30,16,14,Peyton Manning pass incomplete short right intended for Marvin Harrison,-0.100,-1.370
3,6:14,4,7,IND 30,16,14,"Hunter Smith punts 52 yards, returned by Chad Morton for 9 yards (tackle by Gilbert Gardner)",-1.370,-0.740
3,6:00,1,10,NYG 27,16,14,Eli Manning pass complete short left to Plaxico Burress for 5 yards (tackle by Jason David),0.740,0.870
3,5:29,2,5,NYG 32,16,14,Tiki Barber left tackle for 4 yards (tackle by Raheem Brock),0.870,0.700
3,4:44,3,1,NYG 36,16,14,"Penalty on David Diehl: False Start, 5 yards (no play)",0.700,0.040
3,4:16,3,6,NYG 31,16,14,Eli Manning pass incomplete short middle intended for Tiki Barber,0.040,-1.310
3,4:07,4,6,NYG 31,16,14,"Jeff Feagles punts 49 yards, returned by Terrence Wilkins for 1 yard (tackle by Brandon Jacobs)",-1.310,-0.340
3,3:54,1,10,IND 21,16,14,Peyton Manning pass complete short middle to Joseph Addai for 4 yards (tackle by LaVar Arrington and Michael Strahan),0.340,0.340
3,3:21,2,6,IND 25,16,14,"Peyton Manning pass complete short right to Joseph Addai for 7 yards (tackle by Carlos Emmons). Penalty on Jake Scott: Offensive Holding, 10 yards (no play)",0.340,-1.140
3,2:45,2,16,IND 15,16,14,Peyton Manning pass complete deep middle to Marvin Harrison for 17 yards (tackle by Antonio Pierce),-1.140,1.070
3,2:04,1,10,IND 32,16,14,Peyton Manning pass incomplete deep middle intended for Dallas Clark is intercepted by R.W. McQuarters at NYG-38 and returned for 16 yards,1.070,-2.520
3,1:44,1,10,IND 46,16,14,Eli Manning pass incomplete deep left intended for Plaxico Burress,2.520,1.980
3,1:36,2,10,IND 46,16,14,"Eli Manning for no gain. Eli Manning fumbles, recovered by Robert Mathis at IND-49 (tackle by Tiki Barber)",1.980,-2.190
3,1:31,1,10,IND 49,16,14,Peyton Manning pass complete short middle to Ben Utecht for 6 yards (tackle by Antonio Pierce),2.190,2.460
3,0:55,2,4,NYG 45,16,14,Peyton Manning pass incomplete deep left intended for Reggie Wayne,2.460,1.750
3,0:47,3,4,NYG 45,16,14,Peyton Manning pass complete short middle to Reggie Wayne for 12 yards (tackle by Gibril Wilson),1.750,3.380
3,0:16,1,10,NYG 33,16,14,Dominic Rhodes left end for 5 yards (tackle by Sam Madison and Gibril Wilson),3.380,3.510
Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,NYG 28,16,14,Dominic Rhodes left end for 7 yards (tackle by Will Demps and Carlos Emmons),3.510,4.170
4,14:34,1,10,NYG 21,16,14,Peyton Manning pass complete deep right to Marvin Harrison for 20 yards. Penalty on Corey Webster: Face Mask (15 Yards),4.170,6.970
4,14:02,1,1,NYG 1,16,14,Dominic Rhodes right end for no gain (tackle by Corey Webster),6.970,5.910
4,13:21,2,1,NYG 1,22,14,"Dominic Rhodes middle for 1 yard, touchdown",5.910,7.000
4,,,,NYG 2,23,14,Adam Vinatieri kicks extra point good,0.000,0.000
4,,,,IND 30,23,14,"Adam Vinatieri kicks off 72 yards, returned by Chad Morton for 24 yards (tackle by Rob Morris)",0.000,0.410
4,13:06,1,10,NYG 22,23,14,Eli Manning pass complete short middle to Jeremy Shockey for 12 yards (tackle by Gary Brackett),0.410,1.200
4,12:36,1,10,NYG 34,23,14,Eli Manning pass incomplete short right intended for Tim Carter,1.200,0.660
4,12:20,2,10,NYG 34,23,14,Tiki Barber right tackle for 22 yards (tackle by Nick Harper),0.660,2.650
4,11:40,1,10,IND 44,23,14,Eli Manning pass incomplete short left intended for Amani Toomer,2.650,2.110
4,11:30,2,10,IND 44,23,14,Eli Manning pass complete short middle to Jeremy Shockey for 13 yards (tackle by Gary Brackett),2.110,3.510
4,10:55,1,10,IND 31,23,14,Tiki Barber left guard for 6 yards (tackle by Gilbert Gardner),3.510,3.780
4,10:14,2,4,IND 25,23,14,Eli Manning pass incomplete short right intended for Jeremy Shockey,3.780,3.070
4,10:06,3,4,IND 25,23,14,Eli Manning pass complete short left to Tiki Barber for 11 yards (tackle by Jason David),3.070,4.650
4,9:29,1,10,IND 14,23,14,Brandon Jacobs right end for 8 yards (tackle by Antoine Bethea),4.650,5.470
4,8:45,2,2,IND 6,23,14,Brandon Jacobs left guard for 5 yards (tackle by Gary Brackett),5.470,6.970
4,8:08,1,1,IND 1,23,20,"Brandon Jacobs right tackle for 1 yard, touchdown. Penalty on Josh Thomas: Defensive Offside (Declined)",6.970,7.000
4,,,,IND 2,23,21,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYG 30,23,21,"Jay Feely kicks off 64 yards, returned by Terrence Wilkins for 24 yards (tackle by James Butler)",0.000,0.940
4,7:54,1,10,IND 30,23,21,Joseph Addai left end for 5 yards (tackle by Sam Madison and Mathias Kiwanuka),0.940,1.070
4,7:12,2,5,IND 35,23,21,Joseph Addai right guard for 9 yards (tackle by Carlos Emmons and Will Demps),1.070,1.860
4,6:41,1,10,IND 44,23,21,Peyton Manning pass complete short middle to Marvin Harrison for 4 yards (tackle by R.W. McQuarters),1.860,1.860
4,5:59,2,6,IND 48,23,21,"Penalty on Jake Scott: False Start, 5 yards (no play)",1.860,1.180
4,5:23,2,11,IND 43,23,21,Peyton Manning pass incomplete short middle intended for Ben Utecht,1.180,0.500
4,5:17,3,11,IND 43,23,21,Peyton Manning pass incomplete short left intended for Ben Utecht,0.500,-0.520
4,5:11,4,11,IND 43,23,21,"Hunter Smith punts 50 yards, returned by Chad Morton for 3 yards (tackle by Rob Morris)",-0.520,0.380
4,4:58,1,10,NYG 10,23,21,Eli Manning pass complete short right to Amani Toomer for 6 yards (tackle by Nick Harper),-0.380,-0.230
4,4:52,2,4,NYG 16,23,21,Tiki Barber right tackle for 2 yards (tackle by Robert Mathis and Montae Reagor),-0.230,-0.480
4,4:14,3,2,NYG 18,23,21,"Eli Manning pass complete deep right to Tim Carter for 19 yards (tackle by Nick Harper). Penalty on Tim Carter: Offensive Pass Interfere, 9 yards (no play)",-0.480,-1.540
4,4:03,3,11,NYG 9,23,21,Eli Manning pass incomplete deep middle intended for Amani Toomer is intercepted by Nick Harper at NYG-38 and returned for 4 yards,-1.540,-3.310
4,3:51,1,10,NYG 34,23,21,Dominic Rhodes left end for -6 yards (tackle by LaVar Arrington),3.310,1.960
4,3:45,,,,23,21,Timeout #1 by New York Giants,0.000,1.960
4,3:45,2,16,NYG 40,23,21,Peyton Manning pass complete short left to Dominic Rhodes for 3 yards (tackle by Antonio Pierce),1.960,1.690
4,3:38,,,,23,21,Timeout #2 by New York Giants,0.000,1.690
4,3:38,3,13,NYG 37,23,21,Peyton Manning pass complete short middle to Dallas Clark for 14 yards (tackle by James Butler),1.690,4.040
4,3:01,1,10,NYG 23,23,21,Dominic Rhodes right end for 6 yards (tackle by Gibril Wilson),4.040,4.380
4,2:43,,,,23,21,Timeout #3 by New York Giants,0.000,4.380
4,2:43,2,4,NYG 17,23,21,Dominic Rhodes left tackle for 2 yards (tackle by Michael Strahan and Antonio Pierce),4.380,4.050
4,2:00,3,2,NYG 15,23,21,Joseph Addai right tackle for no gain (tackle by Michael Strahan and Sam Madison),4.050,2.570
4,1:16,,,,23,21,Timeout #1 by Indianapolis Colts,0.000,2.570
4,1:16,4,2,NYG 15,26,21,Adam Vinatieri 32 yard field goal good,2.570,3.000
4,,,,IND 30,26,21,"Adam Vinatieri kicks off 63 yards, returned by Chad Morton for 16 yards (tackle by Rob Morris)",0.000,0.480
4,1:06,1,10,NYG 23,26,21,Eli Manning pass incomplete deep middle intended for Tim Carter,0.480,-0.070
4,0:57,2,10,NYG 23,26,21,Eli Manning pass complete short right to Jeremy Shockey for 12 yards (tackle by Marlin Jackson and Raheem Brock),-0.070,1.270
4,0:30,1,10,NYG 35,26,21,Eli Manning pass complete deep right to Amani Toomer for 16 yards (tackle by Bob Sanders),1.270,2.320
4,0:17,1,10,IND 49,26,21,"Eli Manning spiked the ball. Penalty on Shaun O'Hara: False Start, 5 yards (no play)",2.320,1.990
4,0:07,1,15,NYG 46,26,21,Eli Manning pass incomplete deep left intended for Plaxico Burress (defended by Antoine Bethea),1.990,1.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
