Quarter,Time,Tm,Detail,IND,NYG
1.0,6:07,Colts,Adam Vinatieri 26 yard field goal,3,0
2.0,12:23,Colts,Adam Vinatieri 32 yard field goal,6,0
,2:25,Colts,Dallas Clark 2 yard pass from Peyton Manning (Adam Vinatieri kick),13,0
,0:32,Giants,Plaxico Burress 34 yard pass from Eli Manning (Jay Feely kick),13,7
,0:00,Colts,Adam Vinatieri 48 yard field goal,16,7
3.0,7:10,Giants,Jeremy Shockey 15 yard pass from Eli Manning (Jay Feely kick),16,14
4.0,13:13,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),23,14
,8:01,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),23,21
,1:12,Colts,Adam Vinatieri 32 yard field goal,26,21
