Unnamed: 0,IND,NYG
First Downs,22,23
Rush-Yds-TDs,23-55-1,28-186-1
Cmp-Att-Yd-TD-INT,25-41-276-1-1,20-34-247-2-1
Sacked-Yards,1-4,0-0
Net Pass Yards,272,247
Total Yards,327,433
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,3-20,10-64
Third Down Conv.,11-16,4-8
Fourth Down Conv.,0-0,0-1
Time of Possession,29:57,30:03
