Quarter,Time,Down,ToGo,Location,STL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 61 yards, returned by Marques Hagans for 17 yards (tackle by Roy Manning)",0.000,0.670
1,14:55,1,10,STL 26,0,0,Brock Berlin pass complete to Torry Holt for 9 yards (tackle by Dhani Jones),0.670,1.350
1,14:14,2,1,STL 35,0,0,Brock Berlin for -6 yards (tackle by Justin Smith),1.350,-0.160
1,13:45,3,7,STL 29,0,0,Brock Berlin pass incomplete deep middle intended for Isaac Bruce,-0.160,-1.440
1,13:39,4,7,STL 29,0,0,Donnie Jones punts 29 yards,-1.440,-1.730
1,13:29,1,10,CIN 42,0,0,"Penalty on Bobbie Williams: False Start, 5 yards (no play)",1.730,1.400
1,13:29,1,15,CIN 37,0,0,Kenny Watson left end for 4 yards (tackle by Chris Draft),1.400,1.050
1,12:46,2,11,CIN 41,0,0,Carson Palmer pass complete short right to T.J. Houshmandzadeh for 9 yards (tackle by Ronald Bartell),1.050,1.550
1,12:06,3,2,,0,0,Rudi Johnson left end for -6 yards (tackle by La'Roi Glover),1.550,-0.460
1,11:28,4,8,CIN 44,0,0,Kyle Larson punts 51 yards,-0.460,0.380
1,11:12,1,10,STL 5,0,0,Steven Jackson left tackle for -4 yards (tackle by Dexter Jackson),-0.380,-1.070
1,10:33,2,14,STL 1,0,0,Steven Jackson right tackle for 9 yards (tackle by Johnathan Joseph and Dhani Jones),-1.070,-0.840
1,9:51,3,5,STL 10,0,0,Brock Berlin pass incomplete short right intended for Torry Holt (defended by Johnathan Joseph),-0.840,-2.490
1,9:44,4,5,STL 10,0,0,"Donnie Jones punts 32 yards, fair catch by Antonio Chatman",-2.490,-2.790
1,9:36,1,10,STL 42,0,0,Jeremi Johnson up the middle for 2 yards (tackle by James Hall),2.790,2.510
1,8:59,2,8,STL 40,0,0,Rudi Johnson left tackle for 3 yards (tackle by Will Witherspoon),2.510,2.210
1,8:22,3,5,STL 37,0,0,De De Dorsey right tackle for 19 yards (tackle by O.J. Atogwe),2.210,4.370
1,7:31,1,10,STL 18,0,0,Rudi Johnson left tackle for 3 yards (tackle by Victor Adeyanju),4.370,4.250
1,6:55,2,7,STL 15,0,0,Carson Palmer pass complete short middle to Kenny Watson for -4 yards (tackle by Chris Draft),4.250,2.970
1,6:13,3,11,STL 19,0,0,"Carson Palmer pass incomplete intended for Antonio Chatman. Penalty on Will Witherspoon: Defensive Pass Interference, 18 yards (no play)",2.970,6.970
1,6:07,1,1,STL 1,0,0,"Penalty on Eric Ghiaciuc: False Start, 5 yards (no play)",6.970,5.830
1,6:07,1,6,STL 6,0,0,Rudi Johnson left guard for 5 yards (tackle by Corey Chavous and Adam Carriker),5.830,5.910
1,5:37,2,1,STL 1,0,6,"Rudi Johnson left tackle for 1 yard, touchdown",5.910,7.000
1,,,,STL 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 62 yards, returned by Marques Hagans for 22 yards (tackle by Johnathan Joseph)",0.000,0.940
1,5:24,1,10,STL 30,0,7,Steven Jackson left guard for 4 yards (tackle by Justin Smith),0.940,0.930
1,4:50,2,6,STL 34,0,7,"Brock Berlin for no gain. Brock Berlin fumbles, recovered by Dane Looker at STL-30 and returned for 1 yards",0.930,-0.160
1,4:08,3,9,STL 31,0,7,Brock Berlin pass complete short left to Randy McMichael for 12 yards (tackle by Landon Johnson),-0.160,1.800
1,3:32,1,10,STL 43,0,7,Steven Jackson up the middle for 6 yards (tackle by Domata Peko and Justin Smith),1.800,2.060
1,2:54,2,4,STL 49,0,7,Steven Jackson right tackle for 3 yards (tackle by Michael Myers),2.060,1.750
1,2:18,3,1,CIN 48,0,7,Steven Jackson left tackle for no gain (tackle by Landon Johnson),1.750,0.070
1,1:38,4,1,CIN 48,0,7,Brian Leonard left guard for 2 yards (tackle by Justin Smith),0.070,2.520
1,1:00,1,10,CIN 46,0,7,Brock Berlin pass complete short left to Brian Leonard for 2 yards (tackle by Rashad Jeanty),2.520,2.250
1,0:22,2,8,CIN 44,0,7,Steven Jackson right guard for 1 yard (tackle by Robert Geathers),2.250,1.680
Quarter,Time,Down,ToGo,Location,STL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,CIN 43,0,7,Brock Berlin pass incomplete short middle intended for Isaac Bruce,1.680,0.400
2,14:55,4,7,CIN 43,0,7,"Donnie Jones punts 36 yards, fair catch by Antonio Chatman",0.400,0.380
2,14:48,1,10,CIN 7,0,7,Carson Palmer pass incomplete short left intended for Chad Ochocinco,-0.380,-0.780
2,14:41,2,10,CIN 7,0,7,Carson Palmer pass complete short right to Chad Ochocinco for 8 yards (tackle by Jonathan Wade),-0.780,-0.480
2,13:58,3,2,CIN 15,0,7,Carson Palmer pass complete short middle to Antonio Chatman for 5 yards (tackle by Ronald Bartell),-0.480,0.280
2,13:22,1,10,CIN 20,0,7,De De Dorsey right end for 45 yards (tackle by O.J. Atogwe),0.280,3.250
2,12:43,1,10,STL 35,0,7,Rudi Johnson left end for no gain (tackle by Chris Draft),3.250,2.700
2,12:03,2,10,STL 35,0,7,Kenny Watson left end for 8 yards (tackle by Will Witherspoon),2.700,3.070
2,11:23,3,2,STL 27,0,7,De De Dorsey right end for 14 yards (tackle by O.J. Atogwe),3.070,4.710
2,10:49,1,10,STL 13,0,7,Carson Palmer pass incomplete short right intended for T.J. Houshmandzadeh (defended by Chris Draft),4.710,4.050
2,10:41,2,10,STL 13,0,7,Rudi Johnson up the middle for 4 yards (tackle by James Hall),4.050,3.880
2,10:00,3,6,STL 9,0,7,Carson Palmer pass incomplete intended for Chad Ochocinco (defended by Ronald Bartell),3.880,2.850
2,9:54,4,6,STL 9,0,10,Shayne Graham 27 yard field goal good,2.850,3.000
2,,,,CIN 30,0,10,"Shayne Graham kicks off 61 yards, returned by Marques Hagans for 21 yards (tackle by Rashad Jeanty). Marques Hagans fumbles (forced by Rashad Jeanty), recovered by Hanik Milligan at STL-27",0.000,0.740
2,9:39,1,10,STL 27,0,10,Steven Jackson right tackle for 54 yards (tackle by Marvin White and Johnathan Joseph),0.740,4.310
2,8:46,1,10,CIN 19,0,10,Steven Jackson right guard for no gain (tackle by Justin Smith and Landon Johnson),4.310,3.750
2,8:07,2,10,CIN 19,0,10,"Brock Berlin pass incomplete short middle intended for Steven Jackson (defended by John Thornton). Penalty on Milford Brown: Offensive Holding, 10 yards, Penalty on Alex Barron: Offensive Holding (Declined) (no play)",3.750,2.410
2,8:02,2,20,CIN 29,0,10,Antonio Pittman left guard for 4 yards (tackle by Landon Johnson and Dexter Jackson),2.410,2.280
2,7:21,3,16,CIN 25,0,10,Brock Berlin pass complete short right to Steven Jackson for 3 yards (tackle by Deltha O'Neal),2.280,1.990
2,6:42,4,13,CIN 22,0,10,Jeff Wilkins 40 yard field goal no good,1.990,-0.940
2,6:37,1,10,CIN 30,0,10,Carson Palmer pass incomplete short middle intended for T.J. Houshmandzadeh is intercepted by Ronald Bartell at CIN-42 and returned for 1 yard (tackle by T.J. Houshmandzadeh),0.940,-2.850
2,6:31,1,10,CIN 41,0,10,Steven Jackson left end for 1 yard (tackle by Leon Hall),2.850,2.440
2,5:53,2,9,CIN 40,0,10,Brock Berlin pass complete short left to Torry Holt for 11 yards (tackle by Leon Hall),2.440,3.640
