Unnamed: 0,STL,CIN
First Downs,10,18
Rush-Yds-TDs,24-88-0,36-192-1
Cmp-Att-Yd-TD-INT,17-28-153-0-1,21-29-189-0-2
Sacked-Yards,0-0,1-11
Net Pass Yards,153,178
Total Yards,241,370
Fumbles-Lost,4-1,1-0
Turnovers,2,2
Penalties-Yards,4-53,4-20
Third Down Conv.,3-13,7-15
Fourth Down Conv.,2-2,0-0
Time of Possession,26:35,33:25
