Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 65 yards, returned by Andra Davis for 21 yards (tackle by Emmanuel McDaniel)",0.000,0.670
1,14:54,1,10,CLE 26,0,0,Kelly Holcomb pass complete to Andra Davis for 5 yards (tackle by Adrian Wilson),0.670,0.810
1,14:19,2,5,CLE 31,0,0,"Dennis Northcutt right end for 6 yards (tackle by Emmanuel McDaniel). Penalty on Dennis Johnson: Personal Foul, 15 yards",0.810,2.390
1,13:53,1,10,ARI 48,0,0,Kelly Holcomb pass incomplete intended for Quincy Morgan (defended by Dennis Johnson),2.390,1.850
1,13:53,2,10,ARI 48,0,0,"Penalty on Barron Tanner: Encroachment, 5 yards (no play)",1.850,2.520
1,13:50,2,5,ARI 43,0,0,James Jackson right tackle for 2 yards (tackle by Renaldo Hill and Dennis Johnson),2.520,2.080
1,13:08,3,3,ARI 41,0,0,Kelly Holcomb pass complete to Dennis Northcutt for 7 yards (tackle by Justin Lucas),2.080,3.310
1,12:29,1,10,ARI 34,0,0,Kelly Holcomb pass complete to Keith Heinrich for 8 yards (tackle by Levar Fisher),3.310,3.850
1,11:48,2,2,ARI 26,0,0,James Jackson right guard for 2 yards (tackle by Dennis Johnson and Dexter Jackson),3.850,3.970
1,11:09,1,10,ARI 24,0,0,James Jackson left guard for 7 yards (tackle by Ronald McKinnon and Renaldo Hill),3.970,4.460
1,10:34,2,3,ARI 17,0,0,Kelly Holcomb pass complete to James Jackson for 2 yards (tackle by Marcus Bell),4.460,4.170
1,9:50,,,,0,0,Timeout #1 by Arizona Cardinals,0.000,4.170
1,9:50,3,1,ARI 15,0,0,James Jackson right guard for -1 yards (tackle by Ronald McKinnon and Dexter Jackson),4.170,2.500
1,9:11,4,2,ARI 16,0,3,Phil Dawson 34 yard field goal good,2.500,3.000
1,,,,CLE 30,0,3,"Phil Dawson kicks off 63 yards, returned by Josh Scobey for 21 yards (tackle by Barry Gardner)",0.000,0.810
1,9:00,1,10,ARI 28,0,3,Jeff Blake pass complete to Freddie Jones for 2 yards (tackle by Brant Boyer),0.810,0.530
1,8:22,2,8,ARI 30,0,3,Marcel Shipp left tackle for 1 yard (tackle by Brant Boyer and Andra Davis),0.530,-0.030
1,7:42,,,,0,3,Timeout #2 by Arizona Cardinals,0.000,-0.030
1,7:42,3,7,ARI 31,0,3,Jeff Blake pass complete to Anquan Boldin for 14 yards (tackle by Anthony Henry),-0.030,1.930
1,6:57,1,10,ARI 45,0,3,Jeff Blake pass incomplete intended for Bryant Johnson is intercepted by Earl Little at CLE-30 and returned for 10 yards (tackle by Steve Bush),1.930,-1.600
1,6:47,1,10,CLE 40,0,3,James Jackson right guard for 6 yards (tackle by Calvin Pace),1.600,1.860
1,6:13,2,4,CLE 46,0,3,Kelly Holcomb pass complete to Andra Davis for 19 yards (tackle by Renaldo Hill),1.860,3.250
1,5:31,1,10,ARI 35,0,3,James Jackson right tackle for 4 yards (tackle by Renaldo Hill),3.250,3.240
1,4:51,2,6,ARI 31,0,3,"Penalty on Shaun O'Hara: False Start, 5 yards (no play)",3.240,2.570
1,4:30,2,11,ARI 36,0,3,Kelly Holcomb pass complete to Quincy Morgan for 17 yards (tackle by Dexter Jackson),2.570,4.310
1,3:49,1,10,ARI 19,0,3,Kelly Holcomb pass complete to Andra Davis for 15 yards (tackle by Renaldo Hill),4.310,6.280
1,3:02,1,4,ARI 4,0,9,"Kelly Holcomb pass complete to Andra Davis for 4 yards, touchdown",6.280,7.000
1,,,,ARI 2,0,10,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,0,10,"Phil Dawson kicks off 56 yards, returned by Josh Scobey for 12 yards (tackle by Lee Suggs)",0.000,0.670
1,2:51,1,10,ARI 26,0,10,"Penalty on Anthony Clement: False Start, 5 yards (no play)",0.670,0.340
1,2:51,1,15,ARI 21,0,10,Jeff Blake pass incomplete intended for Steve Bush,0.340,-0.550
1,2:47,,,,0,10,Timeout #3 by Arizona Cardinals,0.000,-0.550
1,2:47,2,15,ARI 21,0,10,Jeff Blake pass complete to Freddie Jones for 6 yards (tackle by Brant Boyer),-0.550,-0.430
1,2:09,3,9,ARI 27,0,10,Jeff Blake pass incomplete intended for Anquan Boldin,-0.430,-1.570
1,2:04,4,9,ARI 27,0,10,"Scott Player punts 43 yards. Penalty on Chris Crocker: Offensive Holding, 10 yards",-1.570,-0.280
1,1:53,1,10,CLE 20,0,10,Kelly Holcomb pass complete to Andra Davis for 21 yards (tackle by Renaldo Hill),0.280,1.660
1,1:15,1,10,CLE 41,0,10,James Jackson left guard for 1 yard (tackle by Barron Tanner and Ronald McKinnon),1.660,1.260
1,0:39,2,9,CLE 42,0,10,James Jackson right tackle for 4 yards (tackle by Raynoch Thompson and Ronald McKinnon),1.260,1.090
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,CLE 46,0,10,"Penalty on Dennis Johnson: Neutral Zone Infraction, 5 yards (no play)",1.090,2.320
2,15:00,1,10,ARI 49,0,10,Kelly Holcomb pass incomplete intended for Quincy Morgan,2.320,1.780
2,14:54,2,10,ARI 49,0,10,Jamel White left guard for 9 yards (tackle by Dexter Jackson),1.780,2.280
2,14:15,3,1,ARI 40,0,10,Kelly Holcomb pass complete to Chad Mustard for 5 yards (tackle by Dexter Jackson),2.280,3.250
2,13:34,1,10,ARI 35,0,10,"Jamel White right guard for 4 yards (tackle by Levar Fisher). Penalty on Wendell Bryant: Defensive Offside, 5 yards (no play)",3.250,3.980
2,13:03,1,5,ARI 30,0,10,Kelly Holcomb pass complete to Dennis Northcutt for 16 yards (tackle by Dexter Jackson),3.980,4.650
2,12:13,,,,0,10,Timeout #1 by Cleveland Browns,0.000,4.650
2,12:13,1,10,ARI 14,0,10,Kelly Holcomb pass incomplete intended for Andra Davis,4.650,4.000
2,12:09,2,10,ARI 14,0,10,Dennis Northcutt left end for 8 yards (tackle by David Barrett),4.000,4.730
2,11:23,3,2,ARI 6,0,10,Kelly Holcomb pass incomplete intended for Jamel White,4.730,3.010
2,11:19,4,2,ARI 6,0,13,Phil Dawson 24 yard field goal good,3.010,3.000
2,,,,CLE 30,0,13,"Phil Dawson kicks off 64 yards, returned by Josh Scobey for 18 yards (tackle by Lee Suggs)",0.000,0.540
2,11:11,1,10,ARI 24,0,13,Marcel Shipp left tackle for 1 yard (tackle by Andra Davis),0.540,0.130
2,10:32,2,9,ARI 25,0,13,Jeff Blake pass incomplete intended for Bryan Gilmore (defended by Courtney Brown),0.130,-0.560
2,10:29,3,9,ARI 25,0,13,Jeff Blake right guard for 3 yards (tackle by Daylon McCutcheon),-0.560,-1.500
2,9:48,4,6,ARI 28,0,13,"Scott Player punts 47 yards, returned by Dennis Northcutt for 13 yards (tackle by Steve Bush)",-1.500,-1.470
2,9:36,1,10,CLE 38,0,13,Kelly Holcomb pass complete to Quincy Morgan for 18 yards (tackle by Dexter Jackson),1.470,2.650
2,9:03,1,10,ARI 44,0,13,James Jackson right tackle for -2 yards (tackle by Adrian Wilson),2.650,1.840
2,8:24,2,12,ARI 46,0,13,Kelly Holcomb pass complete to Quincy Morgan for 11 yards,1.840,2.610
2,8:02,,,,0,13,Timeout #2 by Cleveland Browns,0.000,2.610
2,8:02,3,1,ARI 35,0,13,Kelly Holcomb pass complete to Keith Heinrich for 17 yards (tackle by Adrian Wilson),2.610,4.370
2,7:40,1,10,ARI 18,0,13,James Jackson right tackle for 5 yards (tackle by Adrian Wilson and Renaldo Hill),4.370,4.610
2,7:05,2,5,ARI 13,0,13,James Jackson right tackle for -1 yards (tackle by Dennis Johnson),4.610,3.630
2,6:25,3,6,ARI 14,0,13,Kelly Holcomb pass complete to Dennis Northcutt for 10 yards (tackle by Renaldo Hill),3.630,6.280
2,5:40,1,4,ARI 4,0,13,James Jackson right tackle for 1 yard (tackle by Raynoch Thompson and Kenny King),6.280,5.530
2,5:02,2,3,ARI 3,0,13,James Jackson right tackle for 2 yards (tackle by Dennis Johnson),5.530,5.170
2,4:18,3,1,ARI 1,0,19,"Kelly Holcomb pass complete to Dennis Northcutt for 1 yard, touchdown. Penalty on Barry Stokes: Taunting, 15 yards",5.170,7.000
2,,,,ARI 2,0,20,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 15,0,20,"Phil Dawson kicks off 52 yards, returned by Josh Scobey for 20 yards (tackle by Brant Boyer)",0.000,2.460
2,4:08,1,10,CLE 47,0,20,Marcel Shipp left guard for 8 yards (tackle by Michael Myers and Antonio Garay),2.460,2.990
2,3:32,2,2,CLE 39,0,20,Marcel Shipp right guard for 2 yards (tackle by Andra Davis),2.990,3.120
2,2:50,1,10,CLE 37,0,20,"Jeff Blake sacked by Mark Word for 7 yards. Jeff Blake fumbles (forced by Mark Word), recovered by Jeff Blake at tm_-50",3.120,1.760
2,2:19,2,16,CLE 43,0,20,Jeff Blake pass complete to Marcel Shipp for 17 yards (tackle by Andra Davis),1.760,3.840
2,2:00,1,10,CLE 26,0,20,"Penalty on Leonard Davis: False Start, 5 yards (no play)",3.840,3.510
2,2:00,1,15,CLE 31,0,20,Jeff Blake pass complete to Steve Bush for 12 yards (tackle by Robert Griffith),3.510,4.270
2,2:00,2,3,CLE 19,0,20,"Penalty on L.J. Shelton: False Start, 5 yards (no play)",4.270,3.570
2,1:13,2,8,CLE 24,0,20,Jeff Blake pass incomplete intended for Freddie Jones (defended by Orpheus Roye),3.570,2.870
2,1:06,3,8,CLE 24,0,20,Jeff Blake pass incomplete intended for Bryan Gilmore (defended by Lewis Sanders),2.870,1.870
2,1:00,4,8,CLE 24,3,20,Neil Rackers 42 yard field goal good,1.870,3.000
2,,,,ARI 30,3,20,"Neil Rackers kicks off 69 yards, returned by Andra Davis for 26 yards (tackle by LeVar Woods)",0.000,0.740
2,0:48,1,10,CLE 27,3,20,Jamel White right tackle for 6 yards (tackle by Dexter Jackson),0.740,1.010
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,3,20,"Phil Dawson kicks off 65 yards, returned by Josh Scobey for 18 yards (tackle by Barry Gardner)",0.000,0.480
3,14:53,1,10,ARI 23,3,20,Marcel Shipp right tackle for no gain (tackle by Andra Davis),0.480,-0.070
3,14:13,2,10,ARI 23,3,20,"Jeff Blake pass incomplete intended for Bryan Gilmore. Penalty on Gerard Warren: Defensive Holding, 5 yards (no play)",-0.070,0.810
3,14:08,1,10,ARI 28,3,20,Marcel Shipp right guard for 3 yards (tackle by Mark Word and Kevin Bentley),0.810,0.670
3,13:25,2,7,ARI 31,3,20,Jeff Blake pass incomplete intended for Anquan Boldin,0.670,-0.030
3,13:18,3,7,ARI 31,3,20,Jeff Blake pass incomplete intended for Freddie Jones (defended by Brant Boyer),-0.030,-1.310
3,13:13,4,7,ARI 31,3,20,"Scott Player punts 38 yards, fair catch by Dennis Northcutt",-1.310,-1.000
3,13:04,1,10,CLE 31,3,20,"Kelly Holcomb pass incomplete. Penalty on Kelly Holcomb: Intentional Grounding, 10 yards",1.000,-0.890
3,12:58,2,20,CLE 21,3,20,Kelly Holcomb pass incomplete intended for Dennis Northcutt,-0.890,-1.550
3,12:53,,,,3,20,Timeout #1 by Cleveland Browns,0.000,-1.550
3,12:53,3,20,CLE 21,3,20,"Kelly Holcomb pass complete to James Jackson for 18 yards (tackle by Wendell Bryant). Penalty on Paul Zukauskas: Ineligible Downfield Pass, 5 yards (no play)",-1.550,-2.690
3,12:23,3,25,CLE 16,3,20,Kelly Holcomb pass complete to James Jackson for 6 yards (tackle by LeVar Woods),-2.690,-1.900
3,11:43,4,19,CLE 22,3,20,"Chris Gardocki punts 43 yards, returned by Anquan Boldin for -1 yards (tackle by Sherrod Coates)",-1.900,-1.200
3,11:30,1,10,ARI 34,3,20,Jeff Blake pass complete to Anquan Boldin for 51 yards (tackle by Anthony Henry),1.200,4.580
3,10:47,1,10,CLE 15,3,20,Jeff Blake pass incomplete intended for Bryan Gilmore,4.580,3.950
3,10:44,2,10,CLE 15,3,20,Anquan Boldin right end for 6 yards (tackle by Courtney Brown and Brant Boyer),3.950,4.220
3,10:02,3,4,CLE 9,3,20,Jeff Blake pass incomplete intended for Steve Bush (defended by Courtney Brown),4.220,2.900
3,9:58,4,4,CLE 9,6,20,Neil Rackers 26 yard field goal good,2.900,3.000
3,,,,ARI 30,6,20,"Neil Rackers kicks off 64 yards, returned by Quincy Morgan for 47 yards (tackle by Emmanuel McDaniel)",0.000,2.460
3,9:44,1,10,ARI 47,6,20,James Jackson left end for 4 yards (tackle by David Barrett),2.460,2.450
3,9:05,2,6,ARI 43,6,20,James Jackson right tackle for 1 yard (tackle by Dexter Jackson),2.450,1.880
3,8:25,3,5,ARI 42,6,20,Kelly Holcomb pass complete to Dennis Northcutt for 8 yards (tackle by Renaldo Hill),1.880,3.310
3,7:50,1,10,ARI 34,6,20,Kelly Holcomb pass complete to Andra Davis for 30 yards (tackle by Renaldo Hill),3.310,6.280
3,7:04,1,4,ARI 4,6,26,"James Jackson left tackle for 4 yards, touchdown",6.280,7.000
3,,,,ARI 2,6,27,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 30,6,27,"Phil Dawson kicks off 60 yards, returned by Josh Scobey for 14 yards (tackle by Chaun Thompson)",0.000,0.540
3,6:53,1,10,ARI 24,6,27,Marcel Shipp right guard for 1 yard (tackle by Brant Boyer),0.540,0.130
3,6:53,2,9,ARI 25,6,27,"Penalty on Bryan Gilmore: False Start, 5 yards (no play)",0.130,-0.540
3,6:05,2,14,ARI 20,6,27,Jeff Blake pass incomplete intended for Marcel Shipp,-0.540,-1.220
3,6:00,3,14,ARI 20,6,27,Jeff Blake pass complete to Freddie Jones for -1 yards (tackle by Robert Griffith),-1.220,-2.140
3,5:13,,,,6,27,Timeout #1 by Arizona Cardinals,0.000,-2.140
3,5:13,4,15,ARI 19,6,27,"Scott Player punts 53 yards, returned by Dennis Northcutt for 14 yards (tackle by Justin Lucas). Penalty on Michael Lehan: Personal Foul, 14 yards",-2.140,0.280
3,5:00,1,10,CLE 14,6,27,James Jackson left tackle for 2 yards (tackle by Raynoch Thompson and Ronald McKinnon),-0.280,-0.510
3,4:33,2,8,CLE 16,6,27,Kelly Holcomb pass complete to Quincy Morgan for 2 yards (tackle by Levar Fisher),-0.510,-0.920
3,3:52,3,6,CLE 18,6,27,Kelly Holcomb pass complete to Dennis Northcutt for 14 yards (tackle by Dexter Jackson),-0.920,1.070
3,3:06,1,10,CLE 32,6,33,"Kelly Holcomb pass complete to Quincy Morgan for 68 yards, touchdown",1.070,7.000
3,,,,ARI 2,6,34,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 30,6,34,"Phil Dawson kicks off 69 yards, returned by Josh Scobey for 17 yards (tackle by Michael Lehan)",0.000,0.040
3,2:50,1,10,ARI 18,6,34,Jeff Blake pass complete to Marcel Shipp for 11 yards (tackle by Brant Boyer),0.040,0.870
3,2:10,1,10,ARI 29,6,34,Jeff Blake pass incomplete intended for Marcel Shipp,0.870,0.330
3,2:05,2,10,ARI 29,6,34,Jeff Blake pass complete to Bryan Gilmore for 9 yards (tackle by Lewis Sanders),0.330,0.830
3,1:45,3,1,ARI 38,6,34,Marcel Shipp left guard for 2 yards (tackle by Brant Boyer and Michael Myers),0.830,1.600
3,1:08,1,10,ARI 40,6,34,"Marcel Shipp up the middle for 5 yards (tackle by Courtney Brown). Marcel Shipp fumbles (forced by Courtney Brown), recovered by Gerard Warren at ARI-45 (tackle by Marcel Shipp)",1.600,-2.590
3,0:59,1,10,ARI 45,6,34,Kelly Holcomb pass complete to Andra Davis for 23 yards,2.590,4.110
3,0:35,1,10,ARI 22,6,34,"James Jackson left guard for 5 yards (tackle by Dennis Johnson). Penalty on Ronald McKinnon: Defensive Offside, 5 yards (no play)",4.110,4.970
3,0:09,1,5,ARI 17,6,34,Kelly Holcomb pass complete to Keith Heinrich for 13 yards (tackle by Renaldo Hill),4.970,6.280
Quarter,Time,Down,ToGo,Location,ARI,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,4,ARI 4,6,34,James Jackson right guard for no gain (tackle by Wendell Bryant and Dennis Johnson),6.280,5.340
4,14:24,2,4,ARI 4,6,40,"James Jackson left tackle for 4 yards, touchdown",5.340,7.000
4,,,,ARI 2,6,41,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,6,41,"Phil Dawson kicks off 60 yards, returned by Josh Scobey for 25 yards (tackle by Leigh Bodden)",0.000,1.270
4,14:12,1,10,ARI 35,6,41,Josh McCown pass incomplete intended for Damien Anderson,1.270,0.720
4,14:08,2,10,ARI 35,6,41,Josh McCown pass complete to Damien Anderson for 5 yards (tackle by Brant Boyer),0.720,0.700
4,13:23,3,5,ARI 40,6,41,Josh McCown left end for 5 yards (tackle by Brant Boyer and Andra Davis),0.700,1.930
4,12:39,1,10,ARI 45,6,41,Josh McCown pass incomplete intended for Bryant Johnson is intercepted by Brant Boyer at CLE-40 and returned for 4 yards (tackle by Damien Anderson),1.930,-1.860
4,12:29,1,10,CLE 44,6,41,Jamel White right tackle for 12 yards (tackle by Adrian Wilson),1.860,2.650
4,11:59,1,10,ARI 44,6,41,Jamel White right tackle for no gain (tackle by Levar Fisher and Dennis Johnson),2.650,2.110
4,11:19,2,10,ARI 44,6,41,Kelly Holcomb pass complete to Andre King for 28 yards (tackle by Dexter Jackson),2.110,4.510
4,10:35,1,10,ARI 16,6,41,"Kelly Holcomb for no gain. Kelly Holcomb fumbles, recovered by Kelly Holcomb at ARI-19",4.510,3.520
4,10:07,2,13,ARI 19,6,41,Kelly Holcomb pass complete to Keith Heinrich for 6 yards (tackle by Calvin Pace),3.520,3.540
4,9:28,3,7,ARI 13,6,41,Kelly Holcomb pass complete to Keith Heinrich for 1 yard (tackle by LeVar Woods),3.540,2.660
4,9:01,4,6,ARI 12,6,44,Phil Dawson 29 yard field goal good,2.660,3.000
4,,,,CLE 30,6,44,"Phil Dawson kicks off 63 yards, returned by Josh Scobey for 20 yards (tackle by Michael Lehan)",0.000,0.740
4,8:52,1,10,ARI 27,6,44,Josh McCown pass complete to Anquan Boldin for 9 yards (tackle by Daylon McCutcheon),0.740,1.410
4,8:21,2,1,ARI 36,6,44,Josh McCown up the middle for 4 yards (tackle by Andra Davis),1.410,1.600
4,7:52,1,10,ARI 40,6,44,Josh McCown pass incomplete intended for Damien Anderson,1.600,1.050
4,7:47,2,10,ARI 40,6,44,Josh McCown pass complete to Anquan Boldin for 12 yards (tackle by Kevin Bentley),1.050,2.390
4,7:16,1,10,CLE 48,6,44,Josh McCown pass incomplete intended for Damien Anderson (defended by Orpheus Roye),2.390,1.850
4,7:11,2,10,CLE 48,6,44,Josh McCown pass incomplete intended for Freddie Jones,1.850,1.160
4,7:07,3,10,CLE 48,6,44,Josh McCown pass incomplete intended for Damien Anderson,1.160,0.070
4,7:02,4,10,CLE 48,6,44,"Scott Player punts 48 yards, touchback",0.070,-0.280
4,6:48,1,10,CLE 20,6,44,Lee Suggs right end for no gain (tackle by LeVar Woods),0.280,-0.270
4,6:15,2,10,CLE 20,6,44,Lee Suggs right tackle for no gain (tackle by Marcus Bell),-0.270,-0.960
4,5:34,3,10,CLE 20,6,44,Kelly Holcomb pass complete to Jamel White for 5 yards (tackle by Adrian Wilson),-0.960,-1.700
4,4:55,4,5,CLE 25,6,44,"Chris Gardocki punts 47 yards, fair catch by Anquan Boldin",-1.700,-0.810
4,4:47,1,10,ARI 28,6,44,Josh McCown pass complete to Damien Anderson for 5 yards (tackle by Kevin Bentley),0.810,0.940
4,4:18,2,5,ARI 33,6,44,Josh McCown pass incomplete intended for Steve Bush is intercepted by Leigh Bodden at ARI-37 and returned for 1 yard (tackle by Leonard Davis),0.940,-3.180
4,4:09,1,10,ARI 36,6,44,Lee Suggs left guard for 2 yards (tackle by Wendell Bryant),3.180,2.910
4,3:29,2,8,ARI 34,6,44,Lee Suggs right guard for 4 yards (tackle by Levar Fisher and Kenny King),2.910,2.740
4,2:46,3,4,ARI 30,6,44,Kelly Holcomb pass complete to Chad Mustard for 12 yards (tackle by Levar Fisher),2.740,4.370
4,2:00,1,10,ARI 18,6,44,Lee Suggs right tackle for -1 yards (tackle by LeVar Woods),4.370,3.670
4,1:16,2,11,ARI 19,6,44,Kelly Holcomb kneels for -1 yards,3.670,2.870
4,0:35,3,12,ARI 20,6,44,Kelly Holcomb kneels for -1 yards,2.870,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
