Unnamed: 0,ARI,CLE
First Downs,10,27
Rush-Yds-TDs,13-41-0,33-89-2
Cmp-Att-Yd-TD-INT,13-32-152-0-3,29-35-392-3-0
Sacked-Yards,1-6,0-0
Net Pass Yards,146,392
Total Yards,187,481
Fumbles-Lost,2-1,1-0
Turnovers,4,0
Penalties-Yards,9-55,7-64
Third Down Conv.,3-10,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,20:27,39:33
