Unnamed: 0,PIT,CIN
First Downs,19,19
Rush-Yds-TDs,34-144-1,20-84-1
Cmp-Att-Yd-TD-INT,14-21-208-3-0,25-41-263-1-2
Sacked-Yards,1-6,4-20
Net Pass Yards,202,243
Total Yards,346,327
Fumbles-Lost,0-0,2-0
Turnovers,0,2
Penalties-Yards,6-39,7-90
Third Down Conv.,6-11,9-16
Fourth Down Conv.,0-0,0-1
Time of Possession,28:57,31:03
