Quarter,Time,Tm,Detail,PIT,CIN
1.0,6:54,Bengals,Shayne Graham 23 yard field goal,0,3
,1:09,Bengals,Rudi Johnson 20 yard rush (Shayne Graham kick),0,10
2.0,13:11,Steelers,Willie Parker 19 yard pass from Ben Roethlisberger (Jeff Reed kick),7,10
,6:13,Bengals,T.J. Houshmandzadeh 7 yard pass from Jon Kitna (Shayne Graham kick),7,17
,3:48,Steelers,Hines Ward 5 yard pass from Ben Roethlisberger (Jeff Reed kick),14,17
3.0,5:12,Steelers,Jerome Bettis 5 yard rush (Jeff Reed kick),21,17
,1:13,Steelers,Cedrick Wilson 43 yard pass from Ben Roethlisberger (Jeff Reed kick),28,17
4.0,10:29,Steelers,Jeff Reed 21 yard field goal,31,17
