Unnamed: 0,TEN,IND
First Downs,17,24
Rush-Yds-TDs,24-51-0,25-101-0
Cmp-Att-Yd-TD-INT,28-39-300-2-0,27-41-264-2-0
Sacked-Yards,1-10,1-7
Net Pass Yards,290,257
Total Yards,341,358
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,7-58,5-25
Third Down Conv.,6-15,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,31:17,28:43
