Quarter,Time,Tm,Detail,DAL,SDG
1.0,7:05,Chargers,Danny Woodhead 26 yard pass from Philip Rivers (Nick Novak kick),0,7
2.0,13:10,Cowboys,Dez Bryant 5 yard pass from Tony Romo (Dan Bailey kick),7,7
,5:11,Chargers,Nick Novak 36 yard field goal,7,10
,2:36,Cowboys,Dez Bryant 34 yard pass from Tony Romo (Dan Bailey kick),14,10
,1:19,Cowboys,Sean Lee 52 yard interception return (Dan Bailey kick),21,10
,0:00,Chargers,Nick Novak 42 yard field goal,21,13
3.0,9:32,Chargers,Danny Woodhead 13 yard pass from Philip Rivers (Nick Novak kick),21,20
4.0,14:46,Chargers,Nick Novak 23 yard field goal,21,23
,6:54,Chargers,Antonio Gates 56 yard pass from Philip Rivers (Nick Novak kick),21,30
